x,y,z,t,prob
44,40,28,8,0.175229
44,36,28,8,0.18153
0,12,28,8,0.13359
44,36,24,8,0.150944
44,36,20,8,0.1866
40,36,20,8,0.161908
40,36,16,8,0.137678
40,32,16,8,0.145018
12,16,20,8,0.147101
8,16,20,8,0.0609402
8,16,24,8,0.0380262
8,12,24,8,0.0385177
4,12,24,8,0.0370711
4,12,28,8,0.0366056
48,36,16,8,0.0811385
44,32,12,8,0.0405254
44,32,8,8,0.0347266
40,32,4,8,0.0360087
64,44,28,8,0.0304126
60,44,28,8,0.0257418
60,44,24,8,0.025357
36,28,0,8,0.0334509
56,40,20,8,0.0252313
56,36,20,8,0.0251667
52,36,20,8,0.0252313
52,36,16,8,0.0253188
28,24,4,8,0.0252313
24,24,4,8,0.0251463
24,24,24,2,0.0252313
44,28,16,2,0.0252313
48,28,16,2,0.0252313
44,28,12,2,0.0251972
40,24,4,2,0.0252313
4,44,24,2,0.0252313
16,36,12,2,0.0252313
20,36,12,2,0.0252313
20,16,16,4,0.0252313
8,8,28,4,0.211298
52,20,16,4,0.0252313
28,20,8,4,0.0252313
16,16,28,4,0.0251516
24,24,12,4,0.0252313
20,20,12,4,0.0251888
64,28,24,2,0.0252313
60,12,24,4,0.0253158
20,20,16,4,0.0252313
44,20,12,4,0.0253214
8,16,28,4,0.0252718
8,16,24,4,0.0252392
12,20,24,4,0.0252313
4,16,28,4,0.0252313
32,28,0,4,0.0252313
32,36,12,4,0.0252313
28,20,4,4,0.0251022
12,8,28,4,0.025199
12,8,24,4,0.0416905
32,40,20,4,0.02498
48,20,12,4,0.0248698
32,40,28,4,0.0248698
60,16,28,4,0.0251121
32,36,16,4,0.0569715
16,12,24,4,0.0393232
24,16,12,4,0.0408108
52,32,16,2,0.0492312
48,16,16,4,0.0376107
20,24,28,4,0.0469984
24,24,16,8,0.0253656
16,12,20,8,0.0258741
20,16,24,8,0.0258741
20,16,16,8,0.0291831
32,32,8,8,0.0257401
32,24,4,6,0.0258741
32,24,28,6,0.0258741
32,24,0,6,0.0258741
32,28,16,6,0.0256574
48,20,12,6,0.0253141
48,20,16,6,0.0258741
56,16,24,6,0.0258741
52,16,16,6,0.0256905
48,16,16,6,0.0257821
52,16,24,6,0.0255658
56,12,24,6,0.17329
56,12,28,6,0.138864
60,12,28,6,0.0879966
36,24,0,6,0.121776
44,20,8,6,0.126852
40,20,8,6,0.0700862
24,24,12,6,0.0705391
16,16,16,6,0.0648637
24,20,8,6,0.117016
12,8,28,6,0.0262173
20,20,24,6,0.0270987
32,20,28,6,0.0416536
24,16,12,6,0.0325914
32,32,8,6,0.051905
32,32,4,6,0.0306318
32,28,0,6,0.028418
12,8,24,6,0.0278027
28,20,8,6,0.0347961
28,20,4,6,0.032048
16,20,24,6,0.0328608
20,20,20,4,0.0261245
56,16,20,4,0.026214
48,20,16,4,0.0263084
64,28,28,2,0.0281362
60,12,28,4,0.0566403
32,28,4,2,0.0259967
0,24,32,2,0.0263612
32,32,4,2,0.0338706
32,32,8,2,0.0291336
28,20,4,2,0.0479442
52,16,20,2,0.0439425
16,12,20,2,0.0263629
44,20,8,2,0.027988
52,12,24,2,0.0276839
28,24,0,2,0.0330337
24,20,20,2,0.0289521
56,16,24,2,0.0300236
48,16,12,2,0.0315062
48,24,16,2,0.0294297
32,24,20,2,0.0956761
52,16,16,2,0.0272007
12,12,20,2,0.0273006
8,8,28,2,0.0274118
32,36,16,2,0.027557
20,20,24,2,0.0446038
28,24,8,2,0.0285795
24,20,8,2,0.026426
20,20,8,2,0.0268762
24,24,4,2,0.0268496
60,12,24,2,0.0272773
12,8,24,2,0.0302686
12,8,28,2,0.0310917
32,36,12,2,0.0268155
12,12,24,2,0.0266596
56,24,24,2,0.0267431
32,40,24,2,0.0272905
32,32,24,2,0.0283837
20,24,8,2,0.0270969
44,24,16,2,0.028
28,36,32,2,0.0270363
36,28,0,4,0.0265675
36,28,4,4,0.0269535
40,40,28,4,0.0269535
36,28,8,4,0.0267878
36,32,8,4,0.0284702
32,20,24,4,0.0285139
44,24,12,4,0.0275889
56,24,28,4,0.0265682
36,44,24,2,0.0263985
32,28,24,4,0.0266094
32,24,28,4,0.02707
32,24,4,4,0.0270061
16,16,16,4,0.0268596
20,16,12,4,0.0267158
32,24,0,4,0.0265119
16,12,20,4,0.026637
60,32,24,2,0.0267158
56,16,24,4,0.0267158
60,16,24,4,0.0267158
56,32,20,2,0.0266107
52,16,20,4,0.0272088
52,16,16,4,0.0268446
44,20,8,4,0.0263046
40,24,4,4,0.0286205
40,20,8,4,0.0273547
32,32,4,4,0.02648
32,28,4,4,0.02648
12,12,20,4,0.02648
32,32,8,4,0.0263046
32,32,12,4,0.0265809
24,20,8,4,0.0263629
28,24,16,6,0.0264361
20,16,12,6,0.0262175
32,24,20,6,0.0263629
32,24,32,6,0.0262172
4,44,28,2,0.0265616
24,32,4,2,0.0264116
20,32,12,2,0.0264945
12,36,16,2,0.0268932
20,32,8,2,0.0269251
24,32,8,2,0.0263629
8,44,24,2,0.02629
60,8,24,0,0.0302234
8,40,20,2,0.0263629
64,8,24,0,0.0263629
12,40,20,2,0.0264331
8,40,24,2,0.0264507
28,28,0,2,0.0263629
28,28,4,2,0.0263629
28,32,4,2,0.038
12,40,16,2,0.031494
16,20,28,2,0.0318348
44,20,24,2,0.0267004
44,20,28,2,0.0322799
36,48,32,2,0.0263264
20,20,28,2,0.0263241
36,44,28,2,0.133227
44,44,32,2,0.0280756
44,44,24,2,0.0265035
36,24,32,2,0.0280908
40,40,24,2,0.0262397
52,24,28,2,0.0262173
44,44,28,2,0.0263629
44,24,4,2,0.0263204
56,20,20,2,0.0264081
56,20,24,2,0.0265265
60,20,24,2,0.0265388
60,16,24,2,0.027201
60,16,28,2,0.0263629
44,24,8,2,0.0263629
12,16,24,2,0.0263629
8,16,24,2,0.0263629
20,24,12,2,0.0263629
16,20,12,2,0.0263629
12,16,20,2,0.0265923
28,32,24,2,0.0263629
28,28,24,2,0.0263629
28,28,20,2,0.0262851
24,32,32,2,0.0263629
16,20,20,2,0.0267499
24,32,28,2,0.0266862
28,32,28,2,0.0267564
32,28,12,2,0.0263629
12,16,28,2,0.0289654
28,28,12,2,0.0263629
28,28,16,2,0.0271123
16,16,28,2,0.0263337
60,12,28,2,0.0263629
28,36,28,2,0.0263629
16,20,24,2,0.0262173
36,24,28,2,0.133285
4,20,24,2,0.0268783
20,20,12,2,0.0263629
16,20,16,2,0.0263629
0,16,28,2,0.0267309
4,16,28,2,0.0263629
20,20,16,2,0.0262657
8,20,24,2,0.0262173
20,16,24,2,0.0263629
16,16,24,2,0.0263629
28,24,12,2,0.0263629
40,36,20,4,0.0263629
40,36,28,4,0.0263629
40,36,24,4,0.0263629
40,40,32,4,0.0263629
32,28,16,0,0.0263143
32,28,12,0,0.0263143
32,28,8,0,0.0262883
28,24,0,0,0.0263824
36,28,24,0,0.0407286
36,28,16,0,0.0263629
32,28,20,0,0.0263629
36,28,28,0,0.0263629
32,28,0,0,0.211436
24,28,28,0,0.0263629
28,28,24,0,0.0263629
28,28,12,0,0.0267049
28,28,20,0,0.0264256
32,24,8,0,0.0262901
32,24,20,0,0.0264507
32,20,24,0,0.026611
32,20,28,0,0.0263386
28,28,28,0,0.0310972
28,24,8,0,0.03182
24,24,8,0,0.0263629
28,28,16,0,0.0264588
0,8,28,0,0.0263629
20,20,12,0,0.0263386
64,8,28,0,0.0735781
28,20,8,0,0.0270167
40,20,4,0,0.0300654
48,20,12,0,0.0320129
48,20,8,0,0.0268865
44,20,8,0,0.0274562
44,20,4,0,0.0263386
40,24,4,0,0.026813
36,24,4,0,0.0262657
36,24,0,0,0.0263629
56,16,16,0,0.0270119
60,12,24,0,0.0263333
36,28,20,4,0.0263629
32,28,20,4,0.0263325
28,24,0,4,0.0278064
32,28,16,4,0.026324
40,44,24,2,0.0263629
36,28,24,4,0.0277494
32,28,8,4,0.0277005
32,24,8,4,0.0267251
36,40,24,2,0.0262463
32,24,24,4,0.026337
32,24,12,4,0.0263889
32,20,28,4,0.0310148
28,28,4,4,0.0261882
32,44,28,2,0.0261375
28,28,28,4,0.0260702
0,20,28,4,0.0261882
36,40,20,2,0.0261882
32,24,20,4,0.0261882
36,28,28,4,0.0261882
36,40,16,2,0.0261882
32,24,16,4,0.0261882
4,20,28,4,0.0261882
44,24,8,4,0.0251022
44,24,16,4,0.0261882
36,24,0,4,0.0252313
52,24,20,4,0.0261882
56,24,24,4,0.0261882
52,24,24,4,0.0261882
48,24,20,4,0.0485598
48,24,16,4,0.0261882
36,32,12,4,0.0261882
36,32,16,4,0.0267029
40,32,16,4,0.026117
40,36,16,4,0.026192
20,24,24,4,0.0261302
24,24,24,4,0.0267192
52,20,20,2,0.0263046
40,24,8,2,0.0260724
52,28,12,2,0.0260724
44,24,12,2,0.0260724
48,24,12,2,0.0260724
60,28,24,2,0.0262657
60,28,20,2,0.0260724
48,24,24,2,0.0272872
12,12,24,4,0.0261447
52,24,24,2,0.0263629
40,24,20,2,0.0262173
40,24,28,2,0.0262173
56,24,28,2,0.0265241
56,24,32,2,0.027039
64,24,24,2,0.0262657
64,20,24,2,0.0267801
64,20,28,2,0.02629
0,24,28,2,0.0262796
52,24,16,2,0.0262851
56,24,16,2,0.0266074
56,24,20,2,0.0260724
60,24,20,2,0.0263046
60,24,24,2,0.0262536
36,24,20,2,0.0260724
36,24,24,2,0.0260724
36,24,8,2,0.0266814
36,24,12,2,0.0499431
28,24,4,2,0.0260724
8,16,28,2,0.0260724
60,12,20,0,0.0265304
28,32,28,8,0.0263478
56,12,20,0,0.0260484
56,12,16,0,0.0262173
52,16,16,0,0.0260724
52,16,12,0,0.0260724
24,24,28,2,0.0262035
40,24,12,2,0.0260724
20,24,28,2,0.026015
24,24,20,2,0.0273024
8,12,28,2,0.0266371
16,16,16,2,0.0273301
4,12,24,2,0.0306595
4,12,28,2,0.0264365
52,20,16,2,0.025929
24,20,4,2,0.16659
52,28,28,2,0.179351
52,28,24,2,0.178079
48,28,20,2,0.177956
52,24,20,2,0.025929
48,24,20,2,0.176944
36,44,32,2,0.161201
56,12,24,2,0.158833
12,12,28,2,0.0263629
8,12,32,2,0.100467
56,12,20,2,0.120005
24,20,24,2,0.0844568
20,20,32,2,0.111113
