x,y,z,t,prob
32,40,28,8,0.100912
36,28,8,8,0.108014
12,16,32,8,0.118975
28,24,0,8,0.0577404
44,28,16,8,0.0462459
16,20,28,8,0.0364618
12,8,24,8,0.0498815
16,16,16,4,0.0864302
32,32,12,8,0.0316577
24,28,28,8,0.0268081
16,12,16,8,0.0302335
12,12,28,8,0.0392145
48,16,16,8,0.0427138
56,12,24,8,0.0283576
56,12,28,8,0.0323588
60,12,28,8,0.0240865
52,28,28,8,0.0236038
48,28,20,8,0.0240865
28,28,12,8,0.0240865
12,12,24,4,0.0240328
28,28,20,8,0.0240865
12,16,28,4,0.0245052
28,32,24,8,0.0243442
12,16,32,4,0.0242411
28,32,28,8,0.0244175
24,32,32,8,0.0341501
32,28,8,8,0.0242196
16,12,16,4,0.0238947
32,28,12,8,0.0240865
28,24,16,8,0.0248221
16,16,24,8,0.0240864
12,12,28,4,0.02386
28,28,24,8,0.0253683
8,12,28,4,0.0237847
24,28,24,8,0.0247216
24,28,32,8,0.0243051
8,8,24,8,0.045352
56,36,28,8,0.0271503
48,32,12,8,0.0253005
56,36,24,8,0.0253336
8,16,20,8,0.0269295
48,32,16,8,0.0251724
48,32,20,8,0.0259473
52,32,20,8,0.0243458
0,12,28,8,0.0278831
4,8,32,8,0.0302214
8,8,28,8,0.0523087
12,12,20,8,0.0389273
8,12,20,8,0.0259838
16,16,12,8,0.0256446
0,8,28,8,0.0316412
4,12,24,8,0.0276623
8,12,24,8,0.0274249
4,12,28,8,0.0266572
12,12,24,8,0.0271215
24,20,4,8,0.0274932
8,36,20,6,0.0286201
20,20,24,2,0.0267824
36,36,20,6,0.0291042
16,16,24,2,0.0246634
32,32,20,6,0.0278766
40,24,28,6,0.0293107
20,20,16,6,0.0261675
16,20,20,6,0.0272829
40,24,24,6,0.0273912
16,16,28,2,0.0245688
32,32,24,6,0.0496077
24,24,20,6,0.0241459
24,28,8,6,0.0249741
24,28,4,6,0.0254237
60,20,28,6,0.0248035
44,24,16,6,0.0249741
44,24,12,6,0.0249741
48,20,20,6,0.0249741
36,44,32,6,0.0247314
28,24,12,6,0.0241891
24,24,12,6,0.0327891
20,24,16,6,0.0524345
12,32,16,6,0.0249572
16,32,16,6,0.0245425
16,32,12,6,0.0245425
8,20,28,6,0.0289585
