x,y,z,t,prob
32,12,24,4,0.188752
32,16,16,4,0.133612
20,28,16,4,0.0616766
44,28,16,2,0.157078
32,12,20,2,0.0650445
32,16,16,2,0.0292075
44,28,20,2,0.0271321
32,28,8,2,0.0307501
32,20,16,2,0.0296911
44,28,24,2,0.0237864
20,28,20,2,0.0236394
16,28,24,2,0.0290286
32,12,28,2,0.0749467
12,28,28,2,0.0205563
36,28,12,0,0.0211216
32,24,0,0,0.0203879
24,28,12,0,0.0205415
16,28,20,0,0.0205235
48,28,20,2,0.0205031
40,28,16,2,0.020442
20,28,12,2,0.0209668
12,28,24,2,0.0204776
32,16,12,2,0.0204461
32,8,24,2,0.0215064
16,28,20,2,0.0204597
24,28,16,2,0.0203875
52,28,24,2,0.0203604
28,24,0,0,0.0375117
48,28,24,0,0.0216412
20,28,20,0,0.023256
44,28,20,0,0.0203741
32,20,12,0,0.0205758
32,8,28,0,0.020257
52,28,28,2,0.0203639
48,28,24,2,0.0211847
24,28,8,2,0.0211889
36,28,8,0,0.0206064
40,28,8,0,0.0243426
32,28,4,0,0.060241
44,28,12,0,0.0217495
52,28,24,0,0.026066
48,28,16,0,0.0359088
28,28,8,0,0.024598
28,28,4,0,0.0210355
24,28,8,0,0.0213884
20,28,20,4,0.023584
40,28,20,4,0.0206206
32,28,4,4,0.0225477
36,28,16,4,0.0205226
24,28,16,4,0.0204036
20,28,24,4,0.0204929
48,28,32,4,0.0211726
32,16,20,4,0.0203947
36,28,4,0,0.0205326
28,28,4,2,0.173076
32,24,0,2,0.114354
20,28,16,2,0.148746
32,28,0,2,0.0493429
32,20,12,2,0.127769
32,20,8,2,0.038668
32,24,4,2,0.0277337
48,28,24,4,0.0254128
12,28,28,4,0.0220934
32,12,24,6,0.0222874
32,12,28,6,0.0362014
32,20,12,6,0.0211384
32,28,8,4,0.0472963
40,28,12,4,0.0216499
28,24,0,4,0.0215504
36,28,8,4,0.0222181
28,28,0,4,0.0218605
44,28,20,4,0.0351547
40,28,16,4,0.0205188
20,28,28,6,0.0207854
32,16,24,6,0.0206903
36,28,12,8,0.0205915
36,28,8,8,0.0208104
32,28,8,8,0.021122
32,28,4,8,0.0207382
28,24,0,8,0.0208727
