x,y,z,t,prob
40,20,20,0,0.160534
40,20,16,0,0.13308
20,20,20,0,0.129071
12,16,32,0,0.215996
16,12,20,0,0.065998
8,8,28,0,0.0318973
24,20,12,0,0.0342366
20,16,16,0,0.0218556
16,16,20,0,0.0207977
16,12,24,0,0.0262723
12,12,24,0,0.0228098
12,12,28,0,0.0905324
16,16,24,0,0.0182452
24,24,20,0,0.0181532
24,24,24,0,0.018218
20,24,24,0,0.0183458
20,24,28,0,0.0182765
40,24,4,0,0.0181532
56,24,24,0,0.0184053
28,24,12,0,0.0181532
28,24,8,0,0.0181532
20,16,20,0,0.0185788
44,24,8,0,0.0186083
48,24,16,0,0.0183246
24,20,16,0,0.0184774
32,36,20,0,0.0186256
32,36,24,0,0.018287
32,24,16,0,0.018441
16,20,28,0,0.0186393
52,24,20,0,0.0184036
56,24,28,0,0.0184712
24,24,16,0,0.0325352
12,16,28,0,0.0186972
28,24,16,0,0.0184041
20,16,12,0,0.0186528
32,24,20,0,0.0185172
32,24,32,0,0.0187696
32,24,8,2,0.0187696
28,28,12,0,0.0187696
32,24,12,2,0.0187458
28,28,28,0,0.01882
32,24,28,2,0.0188663
48,24,12,2,0.01882
56,24,28,2,0.01882
56,24,24,2,0.0186078
56,16,24,0,0.01882
60,12,24,2,0.0185413
52,24,20,2,0.0186787
20,20,16,2,0.0185326
56,40,24,2,0.0186392
56,16,20,2,0.0188025
32,28,12,0,0.018811
36,24,12,2,0.0186106
20,20,20,2,0.0188446
12,12,28,2,0.018795
32,40,28,2,0.0188719
48,36,12,2,0.0188719
12,16,16,2,0.0188991
36,44,32,2,0.0188821
16,16,16,2,0.0184378
48,32,12,2,0.0188719
60,40,24,2,0.0187998
28,32,24,2,0.0184564
32,28,24,4,0.0188644
28,28,12,2,0.0188719
32,24,12,4,0.0188787
28,32,28,2,0.0187346
32,28,28,4,0.0188129
32,24,32,4,0.0188217
28,28,28,2,0.0204087
32,24,28,4,0.0188058
32,24,0,4,0.0188991
24,24,4,2,0.0188991
28,20,4,4,0.0189037
28,28,4,2,0.0188389
32,24,4,4,0.0189088
52,16,24,2,0.0187024
56,12,24,4,0.0225458
24,20,20,4,0.0184137
24,24,12,4,0.0361061
16,20,28,4,0.0231059
32,28,8,0,0.0661126
36,24,8,2,0.0227873
40,20,8,4,0.0381372
12,12,24,6,0.0240462
52,28,28,2,0.0412519
56,24,28,4,0.0236112
60,20,28,6,0.0427291
60,36,28,6,0.0196464
20,20,8,6,0.232943
28,36,32,6,0.0356286
32,32,12,6,0.236315
32,32,8,0,0.0359081
36,28,8,2,0.0191686
40,24,8,4,0.0406317
44,20,8,6,0.0424092
8,16,28,4,0.0180511
12,12,28,6,0.0405578
28,36,28,6,0.028944
40,28,4,6,0.0183524
40,32,12,2,0.0189088
44,28,12,4,0.0182824
48,24,12,6,0.0183921
32,32,16,6,0.0188719
36,40,16,6,0.0181468
