x,y,z,t,prob
32,0,24,2,0.0377954
52,28,20,2,0.0379852
32,4,24,2,0.037736
56,12,28,0,0.037704
28,0,28,2,0.0378175
32,60,24,2,0.0377359
44,28,16,2,0.0379143
48,28,16,2,0.0377528
60,32,28,2,0.0380638
44,28,12,2,0.0379074
12,28,20,2,0.0376993
16,28,16,2,0.164542
12,28,16,2,0.0375584
52,28,24,2,0.184866
32,4,20,2,0.0373976
0,32,28,2,0.0366858
60,12,28,0,0.0366673
32,0,28,2,0.0376063
32,0,24,4,0.0375924
20,28,8,2,0.0376561
32,60,28,2,0.0375816
28,60,28,2,0.0372865
0,28,28,2,0.127128
16,12,16,0,0.0378765
48,28,20,2,0.0377291
52,28,16,2,0.0377037
60,28,24,2,0.036651
60,28,28,2,0.0366487
56,28,24,2,0.0366453
32,40,24,0,0.0366386
4,28,24,2,0.0366487
36,40,20,0,0.0366487
8,28,20,2,0.0366435
56,28,20,2,0.0366487
32,40,28,0,0.0366437
4,28,28,2,0.0366487
0,28,32,2,0.037739
32,56,28,2,0.0366435
24,24,12,0,0.0375552
20,24,12,0,0.0375902
20,20,16,0,0.0376498
8,16,28,0,0.0366392
8,20,24,0,0.0366435
12,20,24,0,0.0366435
20,16,16,0,0.0378255
52,24,28,0,0.0366435
44,20,8,0,0.0366383
16,12,24,0,0.0373
40,32,20,0,0.0366285
44,20,24,0,0.0370076
28,24,4,0,0.0374045
8,12,24,0,0.0373803
16,12,28,0,0.0377735
12,12,24,0,0.13478
12,16,20,0,0.0375043
52,16,20,0,0.0373241
32,44,32,0,0.0368777
52,36,20,0,0.0366383
56,24,32,0,0.0373952
28,32,24,0,0.0377308
60,24,20,0,0.0370554
24,20,16,0,0.0375576
52,40,20,0,0.0379515
44,20,12,0,0.0366383
28,28,24,0,0.0366573
48,16,20,0,0.0366337
32,32,24,0,0.0369496
4,16,28,0,0.0372856
32,16,8,2,0.0367199
32,8,16,2,0.0366383
32,12,12,2,0.0366383
32,20,4,2,0.0366353
28,56,24,2,0.0370453
28,60,24,2,0.0366383
32,56,24,2,0.0371334
32,24,0,0,0.0374242
36,24,0,0,0.0366383
32,32,8,0,0.037196
52,16,16,0,0.0375798
48,16,12,0,0.037026
32,32,4,0,0.0366487
32,28,0,0,0.0376127
28,20,8,0,0.036631
52,12,20,0,0.0377251
24,16,12,0,0.0371592
52,12,24,0,0.03756
20,28,8,4,0.0378024
16,20,28,0,0.0366285
40,28,20,8,0.0374095
24,32,32,0,0.0375559
24,32,28,0,0.0366363
28,28,28,0,0.0378936
20,20,20,0,0.0375078
32,36,16,0,0.036639
32,24,4,0,0.037755
36,28,8,4,0.0366346
36,24,8,0,0.0366188
40,28,12,4,0.172102
28,24,0,0,0.179395
32,28,4,4,0.0387254
52,24,24,0,0.172458
56,28,28,4,0.0373796
44,24,16,0,0.0375846
48,28,20,4,0.0374022
48,24,24,0,0.0371938
52,28,28,4,0.0376119
24,28,8,4,0.037663
48,24,20,0,0.0387735
52,28,24,4,0.0372832
20,28,16,4,0.0376594
20,28,12,4,0.0371301
32,16,12,4,0.0378319
48,36,16,0,0.0386226
36,28,4,4,0.0386225
32,28,0,4,0.0377218
36,24,4,0,0.0386089
40,28,8,4,0.038101
40,24,8,0,0.0386089
44,28,12,4,0.0386089
48,24,16,0,0.0378085
52,28,20,4,0.0381537
28,28,0,4,0.0371132
24,28,4,4,0.0375539
32,16,8,4,0.0378705
32,20,4,4,0.0375549
32,12,12,4,0.0386089
32,8,16,4,0.0379801
32,4,20,4,0.0380665
8,28,20,4,0.0382862
44,24,12,0,0.0385815
48,28,16,4,0.0385815
64,20,24,0,0.0385815
48,20,28,0,0.0385815
48,16,32,0,0.037621
32,24,8,0,0.0375354
24,24,24,0,0.0382272
24,24,28,0,0.0382492
28,28,12,0,0.0385815
28,24,20,0,0.0382443
8,8,24,0,0.0385815
28,32,28,0,0.0381487
28,36,32,0,0.0385815
20,16,12,0,0.0385815
32,32,16,0,0.0377869
32,32,12,0,0.0385815
40,20,4,0,0.0385815
64,28,28,2,0.0385763
32,28,12,0,0.0385815
32,28,8,0,0.0385815
32,44,28,0,0.0385815
20,28,16,8,0.0385815
28,28,20,0,0.0385815
24,28,24,0,0.0385815
24,28,28,0,0.0385276
24,28,32,0,0.038561
28,28,8,0,0.0385409
32,28,4,0,0.0382352
28,28,16,0,0.0385815
28,24,16,0,0.0384046
28,24,12,0,0.0385815
28,24,8,0,0.0385815
20,20,28,0,0.0385815
24,20,24,0,0.0385815
24,20,20,0,0.0385815
24,24,20,0,0.0385409
24,24,16,0,0.0385009
56,32,24,0,0.0373911
52,32,24,0,0.0385815
56,32,28,0,0.0385815
48,36,12,0,0.0385815
8,28,24,6,0.0385543
4,28,28,6,0.0385815
28,36,28,0,0.038561
4,28,32,6,0.0385815
32,24,8,6,0.0372422
32,16,16,6,0.0385209
36,36,16,0,0.0378218
12,28,20,6,0.0385409
56,16,20,0,0.0380278
28,4,20,2,0.0379871
32,8,24,6,0.0385009
32,16,12,6,0.037955
32,36,28,0,0.0377523
8,28,32,6,0.0631432
56,28,32,6,0.0624126
32,12,16,6,0.0636687
56,12,20,0,0.0653972
32,4,24,6,0.0538755
32,24,4,6,0.0694421
8,8,28,0,0.0482345
12,8,28,0,0.0375175
36,28,0,0,0.144943
44,32,8,0,0.10967
32,36,32,0,0.126731
44,32,12,0,0.132905
12,12,28,0,0.131058
40,32,4,0,0.109271
40,32,8,0,0.14518
20,20,24,0,0.144335
52,40,24,0,0.113145
0,20,28,0,0.14004
56,40,24,0,0.138714
48,24,8,0,0.138538
48,24,12,0,0.117994
52,24,12,0,0.140951
56,24,16,0,0.0385543
60,20,24,0,0.131778
60,12,24,0,0.143371
64,28,32,4,0.150881
64,28,28,4,0.151403
56,24,24,0,0.147886
60,28,28,4,0.122535
32,8,20,4,0.131265
12,28,16,4,0.0389941
56,24,20,0,0.148313
60,28,24,4,0.146433
32,12,16,4,0.143536
32,16,16,4,0.138227
52,24,20,0,0.138697
56,28,24,4,0.0369386
28,0,24,4,0.144419
28,0,28,4,0.038031
32,60,28,4,0.145983
52,24,16,0,0.133936
56,28,20,4,0.036633
16,28,16,4,0.140966
12,16,16,0,0.123728
44,40,32,0,0.0858493
16,28,12,4,0.0386089
40,28,16,6,0.0899974
4,16,24,0,0.137211
44,28,12,6,0.129631
8,16,24,0,0.0375479
20,16,20,0,0.115309
16,16,20,0,0.0778579
20,20,12,0,0.130047
24,24,8,0,0.138327
12,20,20,0,0.117122
12,20,16,0,0.139404
16,20,16,0,0.132429
16,20,12,0,0.128524
8,12,28,0,0.132157
16,16,28,0,0.114963
48,16,28,0,0.0860464
20,16,24,0,0.115041
48,20,12,0,0.0377481
32,24,0,4,0.13417
36,28,4,8,0.0382845
32,28,4,8,0.175111
28,24,0,8,0.177071
44,28,20,8,0.037749
40,28,12,8,0.168642
32,24,4,4,0.0379321
36,28,8,8,0.163602
28,28,0,8,0.037969
44,28,16,8,0.163703
44,20,20,0,0.168432
52,28,28,8,0.170217
40,20,16,0,0.17147
48,28,24,8,0.168154
24,28,8,8,0.172112
28,28,4,8,0.171665
52,28,24,8,0.172673
32,24,0,8,0.171819
24,20,12,0,0.0376605
16,28,24,6,0.166937
36,28,12,6,0.174144
32,24,0,6,0.16891
24,28,12,6,0.16891
40,36,16,0,0.0376078
16,28,20,6,0.166342
28,24,0,6,0.173748
48,28,24,6,0.174302
20,28,20,6,0.0385543
44,28,20,6,0.176789
32,20,12,6,0.174657
56,16,24,0,0.180749
28,4,24,2,0.0376225
32,8,28,6,0.166528
28,8,16,2,0.178137
32,12,20,6,0.177447
12,28,28,6,0.178969
28,28,0,6,0.0385706
16,20,20,0,0.178969
44,28,16,6,0.176705
48,28,20,6,0.17695
56,20,20,0,0.0375934
28,8,20,2,0.169458
32,12,24,6,0.0376292
16,28,16,6,0.170017
52,28,20,6,0.0372146
56,12,24,0,0.172576
28,0,24,2,0.0380471
32,4,28,6,0.172936
36,36,20,0,0.0372026
12,28,24,6,0.173496
44,36,12,0,0.0367763
20,28,16,6,0.174217
32,36,24,0,0.173672
8,28,28,6,0.0380366
52,28,28,6,0.173817
40,28,12,6,0.180922
4,28,24,4,0.17308
56,24,28,0,0.174385
32,36,12,0,0.0387735
32,32,20,0,0.17952
32,40,20,0,0.181423
32,44,24,0,0.176662
16,16,12,0,0.175811
4,12,28,0,0.037316
0,12,28,0,0.180517
20,20,8,0,0.181036
24,20,8,0,0.17707
16,16,16,0,0.18124
8,16,20,0,0.182477
8,12,20,0,0.173485
4,12,24,0,0.181314
12,12,20,0,0.175881
24,20,4,0,0.181035
16,20,24,0,0.177038
16,16,24,0,0.0376588
44,20,28,0,0.175238
56,40,28,0,0.180199
64,20,28,0,0.181537
56,44,28,0,0.181748
40,24,4,0,0.176361
44,24,4,0,0.069266
44,24,8,0,0.176619
44,28,8,0,0.0836879
40,28,8,0,0.17643
44,28,12,0,0.175983
48,28,12,0,0.176611
28,32,32,0,0.178529
52,36,16,0,0.176634
48,28,16,0,0.178216
36,28,4,0,0.17714
40,28,4,0,0.178868
48,32,20,0,0.179048
52,32,20,0,0.179328
48,32,16,0,0.182785
40,36,20,0,0.179328
24,28,12,4,0.182739
32,20,12,4,0.0372919
12,28,20,4,0.181393
8,28,24,4,0.179971
24,24,4,0,0.0366295
28,28,8,4,0.18026
12,28,24,4,0.183722
4,28,28,4,0.183753
16,28,20,4,0.0375635
48,28,24,4,0.180701
28,28,4,4,0.0376413
8,28,28,4,0.0655825
32,20,8,4,0.183267
32,8,24,4,0.182471
32,0,28,4,0.0375439
40,24,12,0,0.181521
44,28,16,4,0.179822
32,0,32,4,0.182682
32,12,20,4,0.0376073
32,28,0,8,0.182971
32,20,12,8,0.183418
32,20,8,8,0.177922
32,24,4,8,0.180208
40,20,12,0,0.0384609
48,28,20,8,0.0450553
40,28,16,8,0.184856
20,28,12,8,0.182433
12,28,24,8,0.184215
32,16,12,8,0.0376529
32,8,24,8,0.0639002
16,28,20,8,0.183841
24,28,16,8,0.0375633
28,4,24,4,0.181194
32,8,28,8,0.0385815
32,12,20,8,0.180922
32,16,16,8,0.0377539
32,28,8,8,0.180644
32,20,4,6,0.180954
32,20,16,8,0.176919
28,20,4,0,0.0366487
36,28,12,8,0.183944
28,28,8,8,0.180749
8,20,20,0,0.177415
16,28,28,8,0.179946
40,20,20,0,0.0366285
48,28,28,8,0.182704
32,8,32,8,0.179936
32,24,8,8,0.180914
32,12,24,8,0.1827
24,28,12,8,0.181652
32,16,20,8,0.183848
