x,y,z,t,prob
52,28,24,0,0.0455186
20,36,24,6,0.0322057
52,28,28,0,0.032288
56,28,28,0,0.0333524
24,36,28,6,0.0258054
40,24,20,0,0.0258596
24,20,20,0,0.0271634
20,24,20,0,0.026927
16,16,28,0,0.0254939
56,28,16,0,0.029574
32,28,8,0,0.0268469
60,28,20,0,0.0255499
56,36,28,0,0.0294215
24,28,32,8,0.0279741
56,28,20,0,0.0454974
40,28,4,0,0.0238496
52,28,16,0,0.0240028
52,28,12,0,0.0450975
48,28,12,0,0.0230084
0,32,28,0,0.0233733
64,28,28,0,0.0228969
64,28,24,0,0.0231784
44,32,8,0,0.0228969
52,36,24,0,0.0242351
56,36,24,0,0.0235456
40,28,8,0,0.0231477
48,28,8,0,0.0232105
44,32,12,0,0.0237867
52,32,20,0,0.0234111
60,28,24,0,0.0240102
52,32,16,0,0.0228921
36,28,4,0,0.0228921
40,36,24,0,0.0228921
40,40,24,0,0.0230914
40,40,28,0,0.0228603
36,28,8,0,0.022844
36,32,8,0,0.0228921
36,32,12,0,0.0251389
36,32,16,0,0.0228921
40,32,16,0,0.0228921
40,36,16,0,0.0228921
32,24,12,0,0.0232479
24,24,24,0,0.022832
32,24,8,0,0.0395351
28,24,12,0,0.0247615
24,24,20,0,0.0228921
20,24,28,0,0.0229317
20,20,24,0,0.0229317
36,24,8,0,0.0229145
44,20,20,0,0.0228278
44,20,24,0,0.0228921
12,12,24,0,0.0228921
20,24,24,0,0.0228815
20,24,16,0,0.0228364
20,24,12,0,0.0248687
24,24,12,0,0.0240973
56,36,20,0,0.0229893
60,36,24,0,0.0228485
64,36,24,0,0.0228323
32,28,20,0,0.0228405
32,40,28,0,0.0235329
32,36,20,0,0.0228747
32,32,16,0,0.0228548
32,28,16,2,0.0255904
32,28,20,2,0.0317025
32,28,32,2,0.0246518
32,28,24,2,0.0228609
52,20,16,2,0.0228448
48,20,16,2,0.0227802
32,24,20,2,0.0228188
32,24,32,2,0.212744
32,24,28,2,0.0228188
32,24,24,2,0.0228187
32,24,16,2,0.024409
44,24,12,2,0.0228188
52,24,20,2,0.0274112
48,24,16,2,0.0242233
44,20,8,2,0.0229506
56,24,28,2,0.0239122
32,24,0,2,0.0230366
32,28,28,2,0.0228188
52,16,16,2,0.0230494
48,20,12,2,0.0269438
24,32,24,2,0.0344504
28,28,24,2,0.0232365
24,28,24,2,0.0270764
28,28,16,2,0.209718
56,24,24,2,0.0228188
40,40,28,2,0.023428
40,40,24,2,0.0228188
36,32,16,2,0.0228188
36,28,8,2,0.0240711
36,32,8,2,0.0227452
36,32,12,2,0.202498
28,20,4,2,0.219092
40,36,24,2,0.0228275
40,32,16,2,0.0228188
44,24,16,2,0.0240504
56,24,32,2,0.195851
56,12,28,2,0.0235789
24,20,8,2,0.0261847
40,20,8,2,0.0233731
44,20,12,2,0.0229228
24,24,16,2,0.0267659
24,20,20,2,0.0227721
40,24,8,2,0.0225573
40,24,16,2,0.0227721
44,20,20,2,0.0227637
20,24,20,2,0.0225287
36,24,4,2,0.0254996
52,24,24,2,0.0228526
12,16,32,2,0.218049
52,20,20,2,0.0229444
52,24,28,2,0.0260396
20,20,20,2,0.0306838
48,24,24,2,0.0258481
36,36,20,2,0.0243032
32,36,16,2,0.0284264
36,36,16,2,0.0274711
16,24,16,2,0.0240073
12,16,20,6,0.0238111
28,24,12,6,0.0250709
24,20,8,6,0.0273404
40,20,20,6,0.212221
44,24,24,6,0.0236031
28,24,20,6,0.211845
28,24,16,6,0.023907
24,32,28,6,0.0230323
48,24,24,6,0.201063
8,12,24,6,0.0247193
4,12,28,6,0.0237355
56,24,32,6,0.0235186
52,16,20,6,0.0254413
4,8,28,6,0.0232339
12,8,24,6,0.0245477
56,36,28,6,0.0232339
36,12,28,6,0.0229184
36,12,24,6,0.219092
0,12,28,6,0.0232339
36,16,16,6,0.023549
36,20,16,6,0.0232339
4,44,28,6,0.0232339
8,16,20,6,0.0232339
4,12,24,6,0.0232339
12,36,20,6,0.0232339
16,36,16,6,0.0232339
32,36,28,6,0.0230235
36,20,12,6,0.0232339
36,20,8,6,0.0231898
36,24,4,6,0.025432
36,24,0,6,0.0232339
32,24,0,6,0.0231892
48,28,16,6,0.0232339
8,40,24,6,0.0231019
16,16,24,6,0.0228769
8,12,28,6,0.0253622
16,12,24,6,0.023082
8,16,24,6,0.023082
60,36,24,6,0.023082
20,20,28,6,0.0228795
16,20,32,6,0.0230122
24,32,32,6,0.023082
20,20,24,6,0.0228795
28,28,12,6,0.0228795
52,28,20,6,0.023082
64,28,28,6,0.0267129
64,28,24,6,0.023082
52,28,24,6,0.0234324
28,28,24,6,0.0255096
52,36,16,6,0.0233333
44,24,8,6,0.0229585
44,24,12,6,0.0266154
48,24,12,6,0.0251485
28,32,20,6,0.023552
48,20,16,6,0.0235563
28,32,8,6,0.0230777
28,28,4,6,0.0241515
56,32,16,2,0.0229369
56,32,20,2,0.0228948
48,28,8,2,0.0285269
48,28,12,2,0.0228925
52,28,12,2,0.0228302
32,36,24,2,0.0228609
56,28,20,2,0.0229369
60,28,20,2,0.0228562
28,40,20,8,0.0229369
64,28,24,2,0.0229369
64,28,28,2,0.0229369
60,28,24,2,0.0254352
0,32,28,2,0.0230849
32,36,20,2,0.0229191
56,28,16,2,0.0229369
52,28,16,2,0.0227947
44,40,28,2,0.0228772
24,24,8,2,0.023562
16,16,28,2,0.03539
24,20,16,2,0.0228622
20,16,24,2,0.022862
44,40,24,2,0.0228938
4,20,24,2,0.0228622
4,20,28,2,0.0228279
44,40,20,2,0.0228622
44,36,20,2,0.0228772
20,20,12,2,0.0230482
12,20,16,2,0.0239883
32,40,24,2,0.0228148
32,40,20,2,0.0228772
4,16,28,2,0.0228622
16,16,24,2,0.0230025
8,16,24,2,0.0229334
4,16,24,2,0.0254939
40,20,20,2,0.0235851
44,20,28,2,0.0232933
