x,y,z,t,prob
60,28,28,4,0.189439
20,24,32,4,0.0606965
48,28,16,4,0.0610341
60,28,20,4,0.0784803
28,24,20,4,0.0959341
24,24,24,4,0.0684661
52,28,12,4,0.0529245
52,36,24,4,0.0339236
12,20,28,4,0.0396044
44,32,12,4,0.036314
40,20,16,4,0.0303338
16,20,28,4,0.0281755
56,28,28,4,0.030301
56,24,24,4,0.042215
32,32,20,4,0.032389
52,28,20,4,0.0339787
60,40,28,2,0.19133
48,24,16,4,0.035606
52,24,20,4,0.0284302
40,24,4,4,0.19091
40,24,20,4,0.0283059
40,24,24,4,0.0298443
40,24,28,4,0.0323609
60,28,24,4,0.032386
40,24,16,4,0.0297686
44,28,28,4,0.02694
44,28,32,4,0.0274535
36,28,12,4,0.0274533
40,28,12,4,0.0297659
40,28,16,4,0.026937
40,28,20,4,0.0344879
40,28,24,4,0.0636191
44,28,24,4,0.1911
60,16,20,4,0.0358907
64,16,24,4,0.0280314
32,32,16,4,0.0268825
56,16,20,4,0.03167
20,16,24,4,0.0274897
16,16,28,4,0.0290564
64,32,28,2,0.0269395
52,16,16,4,0.030422
60,16,24,4,0.0264946
28,28,4,4,0.0276389
48,20,8,4,0.0267954
60,36,24,2,0.0260615
48,20,12,4,0.029398
52,20,12,4,0.0285766
56,20,16,4,0.0269587
28,32,16,4,0.026739
64,12,28,4,0.0271273
48,32,12,4,0.0271125
64,28,28,4,0.0286646
8,20,28,4,0.0778464
56,32,16,4,0.0263526
44,28,4,4,0.0277349
64,28,24,4,0.0266376
56,28,20,4,0.0263266
32,40,28,2,0.0265837
20,24,16,4,0.0296178
48,28,8,4,0.0271858
44,28,8,4,0.0263767
32,36,28,2,0.0264549
20,20,16,4,0.0267574
60,32,20,4,0.028021
52,28,20,8,0.0284387
8,12,20,2,0.0272214
24,36,24,2,0.0265988
44,28,16,2,0.0269684
12,20,20,2,0.0268517
4,20,28,2,0.0267217
32,28,8,2,0.0287207
60,32,24,2,0.0280589
60,16,24,2,0.0264293
0,32,28,2,0.0269929
20,36,20,2,0.0261095
36,24,24,4,0.0270313
64,32,24,2,0.0261095
4,40,24,2,0.0261095
40,20,16,2,0.0261095
8,40,20,2,0.0261095
24,32,28,0,0.0263953
12,16,16,2,0.189439
56,28,20,2,0.0261095
36,24,16,2,0.0261095
12,8,28,2,0.0261095
56,28,16,2,0.0261095
4,44,24,2,0.0261095
