x,y,z,t,prob
28,24,0,0,0.146545
32,24,8,0,0.0267335
32,24,24,0,0.0243863
32,24,12,0,0.0320595
32,20,28,0,0.0231178
32,24,20,0,0.0239822
32,24,16,0,0.0233131
44,24,8,0,0.0204528
36,24,0,0,0.0200131
52,24,20,0,0.0204528
56,24,24,0,0.0204528
52,24,24,0,0.0204528
48,24,16,0,0.0204528
36,28,0,0,0.0204528
32,20,24,0,0.0206315
56,24,28,0,0.020782
32,28,24,0,0.0348861
32,24,28,0,0.0209995
32,24,4,0,0.027957
16,16,16,0,0.0195622
20,16,12,0,0.0195252
32,24,0,0,0.0251171
56,16,24,0,0.0197309
60,16,24,0,0.0195739
52,16,20,0,0.0200122
52,16,16,0,0.0195739
44,20,8,0,0.0197685
40,24,4,0,0.0200433
40,20,8,0,0.0200466
12,12,20,0,0.0196436
24,20,8,0,0.0195861
20,20,20,0,0.0196259
56,16,20,0,0.0199798
60,12,28,0,0.0198852
20,16,16,0,0.0198631
8,8,28,0,0.0198744
52,20,16,0,0.0199967
28,20,8,0,0.0195658
16,16,28,0,0.0196299
24,24,12,0,0.0198117
24,32,28,0,0.0201081
28,28,28,2,0.0196734
32,24,28,4,0.0198348
28,28,16,2,0.0199062
32,24,16,4,0.019914
28,28,24,2,0.0202152
32,24,24,4,0.0202152
32,20,28,4,0.020085
32,36,20,0,0.0203547
48,20,20,8,0.0204969
4,16,32,8,0.0204025
36,28,20,2,0.0199273
48,16,20,8,0.0202152
32,24,0,4,0.0202152
28,28,20,2,0.0203228
32,24,20,4,0.0203228
24,32,32,0,0.0203228
32,24,32,4,0.0203228
28,20,4,4,0.0607868
28,28,4,2,0.0203228
32,24,4,4,0.0197296
8,8,24,4,0.0203228
16,24,12,0,0.0203477
20,20,12,2,0.0201591
24,16,12,4,0.0201437
4,16,28,0,0.0244484
12,8,28,4,0.0201761
44,24,12,2,0.0195383
48,20,12,4,0.020284
52,16,16,6,0.0203228
44,24,16,2,0.020276
48,20,16,4,0.0203228
40,24,16,0,0.0203228
48,16,16,4,0.0196905
32,28,0,2,0.0204414
36,24,0,4,0.0202104
32,28,4,0,0.0203228
36,24,4,2,0.0203228
40,20,4,4,0.0197427
16,20,24,4,0.0204811
32,36,16,8,0.0202195
36,28,4,8,0.0204018
36,36,16,4,0.0204811
44,28,16,8,0.0203957
16,20,24,8,0.0200464
52,16,24,6,0.173657
56,12,24,8,0.147007
32,28,0,6,0.144617
36,24,0,8,0.213644
40,24,16,4,0.020463
48,16,16,8,0.0780124
52,24,28,4,0.0354624
60,16,28,8,0.0192735
48,24,20,4,0.0367081
56,16,20,8,0.0245958
52,24,24,4,0.0253814
60,16,24,8,0.0244918
32,28,8,4,0.0247438
36,24,8,6,0.037577
40,20,8,8,0.0300739
20,24,28,8,0.0260591
24,24,24,8,0.0918571
20,24,24,8,0.020782
32,36,28,8,0.0192309
28,24,16,8,0.0204528
16,16,24,8,0.0204269
52,16,24,8,0.01923
16,20,12,6,0.0197422
20,16,12,8,0.01923
36,44,32,8,0.0192136
24,20,8,8,0.019292
60,12,28,8,0.0192718
8,12,28,6,0.01923
12,8,28,8,0.0202075
16,20,20,6,0.0193276
20,16,20,8,0.0202602
0,8,28,8,0.01923
28,32,24,8,0.0203228
32,40,20,0,0.01923
36,36,20,2,0.0194456
44,28,16,4,0.0203228
48,24,16,6,0.0194705
40,36,20,0,0.0203228
48,28,20,4,0.0192598
52,24,20,6,0.0202958
32,32,4,2,0.0194081
36,28,4,4,0.0194942
40,24,4,6,0.0191599
40,28,8,4,0.0200761
44,24,8,6,0.0193714
28,28,20,4,0.0195394
32,24,20,6,0.0201623
28,28,16,4,0.0193552
32,24,16,6,0.0203228
20,20,20,6,0.0193963
44,20,24,2,0.0346352
52,12,24,6,0.0196365
20,20,28,6,0.0203661
12,16,32,6,0.0193435
32,28,16,6,0.0203228
32,32,12,0,0.019504
40,24,12,4,0.0194224
44,20,12,6,0.0198881
24,20,8,6,0.0197398
12,16,24,4,0.0197398
16,12,24,6,0.0197398
20,20,8,6,0.0195935
12,16,28,6,0.0197824
36,32,12,0,0.0198197
44,24,12,4,0.0197824
48,20,12,6,0.0197823
56,16,28,4,0.0194679
60,12,28,6,0.0197824
52,16,20,6,0.0194183
48,24,20,2,0.0194968
56,16,20,6,0.0202689
56,16,24,6,0.0194047
56,16,24,4,0.020175
60,12,24,6,0.0194597
32,32,8,0,0.0202152
40,24,8,4,0.0196079
44,20,8,6,0.0203228
16,20,20,4,0.0196672
20,16,20,6,0.0201081
56,24,20,8,0.0194451
52,28,20,6,0.0201081
60,24,28,8,0.0197904
56,28,28,6,0.0202796
32,32,20,6,0.0196645
24,32,32,6,0.0198257
28,36,28,6,0.0198257
28,36,32,6,0.0198895
28,24,12,6,0.0198416
24,20,12,6,0.0204528
24,20,4,6,0.0193389
16,16,16,6,0.0198257
16,20,16,4,0.0197302
20,16,16,6,0.0193233
16,20,12,4,0.0201794
20,16,12,6,0.0198186
12,16,20,4,0.0198257
16,12,20,6,0.0198363
8,16,24,4,0.0195206
12,12,24,6,0.0197721
8,12,32,6,0.0197824
20,20,16,6,0.0233068
16,36,20,6,0.0245134
12,36,20,6,0.0196982
36,24,28,6,0.0198894
44,24,32,6,0.0198894
44,24,28,6,0.0199054
44,24,24,6,0.0197335
32,32,16,2,0.0199195
40,24,16,6,0.019443
32,40,24,6,0.0220583
20,32,8,6,0.0259958
32,40,28,6,0.0208839
20,32,12,6,0.0683191
32,32,16,6,0.0271124
32,32,12,6,0.110285
32,32,20,2,0.0204018
40,24,20,6,0.0272262
44,20,20,8,0.0359581
36,28,24,4,0.0284282
40,24,24,6,0.0246061
44,20,24,8,0.0277345
32,32,16,4,0.024636
40,24,16,8,0.0248546
36,28,28,4,0.0203716
44,20,28,8,0.247309
40,40,28,0,0.245552
52,28,28,6,0.0355239
56,24,28,8,0.24713
20,24,24,6,0.0352965
24,20,24,8,0.0235199
20,20,28,8,0.0252997
32,28,4,6,0.0203228
36,24,4,8,0.0277338
32,28,8,6,0.0211899
36,24,8,8,0.0297117
32,28,12,6,0.0343347
36,24,12,8,0.0190958
32,32,12,4,0.0203228
40,24,12,8,0.0199195
12,16,20,8,0.0195896
8,16,24,8,0.0201081
8,16,20,8,0.0191093
4,16,24,8,0.0198257
28,28,20,6,0.0210661
32,24,20,8,0.226508
28,28,16,6,0.0198895
32,24,16,8,0.0242817
36,28,24,0,0.0204811
44,20,24,4,0.0202204
52,12,24,8,0.0288975
24,32,28,6,0.0227126
28,28,28,8,0.0227994
16,20,28,8,0.0195103
4,16,28,8,0.0192278
20,20,32,8,0.0190832
16,16,20,2,0.0844554
12,16,24,0,0.164051
16,12,24,2,0.0194706
8,16,24,0,0.0204528
12,12,24,2,0.0192531
8,16,28,0,0.0196985
12,12,28,2,0.019109
12,20,24,0,0.0196473
16,16,24,2,0.019109
24,24,20,2,0.0194622
24,24,24,2,0.019109
20,24,24,2,0.0195432
20,24,28,2,0.019109
36,28,4,0,0.0191912
40,24,4,2,0.0198961
56,24,24,2,0.0192752
28,24,12,2,0.0192531
28,24,8,2,0.0222581
16,20,20,0,0.0192603
20,16,20,2,0.0190537
44,24,8,2,0.0191593
48,24,16,2,0.0194982
24,20,16,2,0.0199824
32,36,20,2,0.0190423
32,36,24,2,0.0195242
28,28,16,0,0.026927
32,24,16,2,0.0192531
16,20,28,2,0.0201616
52,24,20,2,0.019424
56,24,28,2,0.0195712
24,24,16,2,0.0222338
12,16,28,2,0.0219782
28,24,16,2,0.0204528
20,16,12,2,0.0195079
28,28,20,0,0.0208997
32,24,20,2,0.0192179
32,24,32,2,0.0203228
32,24,8,4,0.0190648
28,28,12,2,0.0194726
32,24,12,4,0.0191165
12,24,24,8,0.0202656
40,36,28,0,0.0198257
52,24,28,6,0.0208472
56,20,28,8,0.0207764
8,16,24,6,0.056613
12,12,24,8,0.0204528
28,28,24,8,0.0209329
44,28,8,8,0.0233394
52,28,28,4,0.020869
56,24,28,6,0.0203228
60,20,28,8,0.019856
60,36,28,8,0.0203228
16,20,12,8,0.0195486
20,20,8,8,0.0201833
28,36,32,8,0.159259
32,32,12,8,0.0204307
56,16,24,8,0.0868874
32,32,8,2,0.0198321
36,28,8,4,0.0211319
40,24,8,6,0.01923
44,20,8,8,0.0193465
8,16,28,6,0.0213981
12,12,28,8,0.0202039
12,16,24,8,0.021055
28,36,28,8,0.020969
16,24,12,8,0.0206168
40,28,4,8,0.0198988
40,32,12,4,0.0196436
44,28,12,6,0.0235786
48,24,12,8,0.0196144
8,16,28,8,0.0198997
32,32,16,8,0.019109
36,40,16,8,0.0200109
36,36,16,8,0.0200109
36,36,12,8,0.245552
56,28,20,8,0.0200109
36,40,20,8,0.0197824
28,28,16,8,0.0217859
36,40,24,8,0.0202234
20,20,20,8,0.02154
48,20,16,8,0.0200379
48,24,20,6,0.0200109
52,20,20,8,0.0195193
48,24,24,6,0.0198267
52,20,24,8,0.180032
40,36,24,0,0.020047
52,24,24,6,0.0199364
56,20,24,8,0.0889957
32,32,8,4,0.0195837
40,24,8,8,0.0195497
36,32,8,4,0.0194407
40,28,8,6,0.0195524
44,24,8,8,0.0190645
32,36,12,2,0.0196283
36,32,12,4,0.0201354
40,28,12,6,0.0195296
44,24,12,8,0.0195624
44,32,8,8,0.0196283
20,36,16,8,0.0211114
20,36,12,8,0.0194513
20,24,8,8,0.0200714
52,32,16,8,0.0194513
48,32,12,8,0.0191979
8,20,20,8,0.242866
4,20,24,8,0.0192855
4,20,28,8,0.0198604
20,32,12,8,0.0194513
24,24,8,8,0.0195204
16,20,32,8,0.0194513
28,24,8,8,0.0194513
24,24,12,8,0.0194513
20,24,12,8,0.0194513
24,24,16,8,0.0196502
24,24,20,8,0.0194513
20,20,24,8,0.0194513
8,24,24,8,0.0194513
24,32,8,8,0.0344388
16,24,16,8,0.0194513
16,24,20,8,0.0194513
12,24,20,8,0.0194513
16,20,16,6,0.0198895
20,16,16,8,0.0194513
12,12,16,8,0.0196554
32,32,12,2,0.0194513
40,24,12,6,0.0194329
44,20,12,8,0.01923
8,40,24,8,0.0194513
60,36,24,8,0.0202479
32,40,24,8,0.0193196
56,16,28,8,0.0206168
52,16,20,8,0.0196721
32,36,24,8,0.0948026
32,32,4,4,0.0191312
40,24,4,8,0.0199738
48,28,16,6,0.0203228
52,24,16,8,0.0197817
52,28,24,6,0.0194229
56,24,24,8,0.0192855
28,32,4,8,0.0192855
24,32,4,6,0.0190265
28,28,4,8,0.0197772
28,28,0,8,0.0194727
28,28,12,8,0.0191765
24,28,24,8,0.229115
24,28,28,8,0.222423
52,32,20,4,0.0213536
60,24,20,8,0.234971
60,24,24,8,0.0201125
64,24,24,8,0.194514
44,24,4,8,0.0203166
64,24,28,8,0.198023
40,32,8,4,0.169933
48,24,8,8,0.0330544
44,32,12,4,0.179728
52,24,12,8,0.17972
4,24,28,8,0.169467
24,32,4,8,0.0194513
28,24,4,8,0.208462
24,24,4,8,0.0353311
24,28,32,8,0.190356
60,12,24,0,0.0215036
20,20,16,0,0.211006
44,20,12,0,0.209042
28,20,4,0,0.197576
16,12,20,0,0.195454
12,8,28,0,0.0561144
12,8,24,0,0.0205033
48,20,12,0,0.172104
32,40,28,0,0.0332001
60,16,28,0,0.200108
32,44,28,0,0.0197824
12,12,24,0,0.206819
16,12,24,0,0.0206717
24,16,12,0,0.233682
48,16,16,0,0.0194593
20,24,28,0,0.215414
20,24,24,0,0.0193702
24,24,24,0,0.125834
32,28,12,0,0.0194513
28,32,28,0,0.161318
24,20,12,0,0.218896
8,12,32,0,0.201164
12,12,28,0,0.0200451
20,16,20,0,0.178211
16,16,20,0,0.0193295
28,24,4,0,0.174214
36,24,4,0,0.142162
28,24,8,0,0.01929
24,20,20,0,0.0728804
28,24,16,0,0.0252399
28,24,12,0,0.178859
44,20,20,0,0.140373
40,20,20,0,0.193089
12,16,28,0,0.193792
24,24,20,0,0.207525
20,20,24,0,0.192373
44,20,28,0,0.152651
44,20,24,0,0.175812
16,16,24,0,0.176535
16,20,32,0,0.238006
36,28,20,0,0.0192531
48,16,20,6,0.145807
44,20,20,4,0.0204528
40,36,16,0,0.0192531
48,28,16,4,0.182414
36,44,32,2,0.0195152
40,40,32,4,0.0191332
36,44,28,2,0.168957
40,40,28,4,0.0190758
36,44,24,2,0.19363
40,40,24,4,0.0228543
36,40,24,2,0.180097
40,36,24,4,0.0234291
12,8,24,4,0.188995
20,16,12,4,0.15747
56,28,28,4,0.0197824
44,28,12,4,0.0356786
28,24,8,4,0.140632
24,20,20,4,0.184612
16,20,28,4,0.218245
20,20,28,4,0.0201301
20,20,24,4,0.0196379
24,24,12,4,0.204866
28,24,12,4,0.206965
24,24,8,2,0.0196733
28,20,8,4,0.208285
52,28,20,4,0.232004
8,20,24,0,0.205306
16,12,24,4,0.0204528
12,16,28,4,0.0212225
32,28,4,2,0.22339
36,24,4,4,0.0235416
36,28,8,0,0.220261
40,24,8,2,0.21085
44,20,8,4,0.0198894
24,24,16,4,0.229323
8,20,20,0,0.226004
16,12,20,4,0.0201947
16,20,24,2,0.226508
20,16,24,4,0.0196436
32,40,20,2,0.0236784
36,36,20,4,0.210717
52,24,20,4,0.0190981
48,24,12,4,0.186179
56,24,24,4,0.246792
56,16,24,2,0.23195
60,12,24,4,0.248864
20,20,16,4,0.233204
56,40,24,4,0.210766
48,24,20,0,0.234927
56,16,20,4,0.153921
32,28,12,2,0.23334
36,24,12,4,0.208908
20,20,20,4,0.199567
4,20,28,0,0.234447
12,12,28,4,0.192964
32,40,28,4,0.0194513
48,36,12,4,0.207875
12,16,16,4,0.0194513
36,44,32,4,0.209489
16,16,16,4,0.0201924
48,32,12,4,0.216481
60,40,24,4,0.0194513
36,28,28,6,0.205693
32,28,20,6,0.234447
28,32,24,4,0.213124
