x,y,z,t,prob
12,20,16,6,0.089344
16,20,16,6,0.0705463
4,20,24,6,0.0498103
48,24,12,6,0.0435778
12,8,24,8,0.0648365
4,16,28,6,0.0353458
4,16,24,6,0.0872506
8,20,20,6,0.051719
8,20,24,6,0.030726
16,20,12,6,0.0308749
52,32,20,6,0.0316758
40,28,8,6,0.0320518
44,32,16,6,0.027007
48,32,16,6,0.0270859
48,32,20,6,0.0279313
56,20,20,6,0.0896776
60,20,24,6,0.0264039
44,24,8,2,0.0249701
32,44,24,6,0.0255533
52,28,20,6,0.0252066
12,8,32,4,0.0252066
60,32,28,6,0.0255533
32,44,32,6,0.0255533
32,36,20,6,0.031006
32,40,20,6,0.0255533
32,40,24,6,0.0255533
56,28,24,6,0.0255533
8,8,28,4,0.0255533
56,32,24,6,0.0255533
40,28,12,6,0.0260603
32,32,4,6,0.0247164
48,28,20,6,0.0258076
44,24,20,6,0.0247164
12,16,24,6,0.0245416
8,16,24,6,0.0247468
32,28,0,6,0.0247435
44,28,16,6,0.0247598
44,24,12,2,0.024722
32,44,28,6,0.0247489
20,20,12,6,0.0266123
48,28,12,6,0.0307946
32,32,8,6,0.0349352
32,32,12,6,0.0245976
32,36,12,6,0.0260805
20,16,12,0,0.0245976
36,24,12,0,0.0245976
20,24,24,2,0.0330136
12,16,16,2,0.0259054
12,16,32,2,0.0245976
12,12,28,2,0.0246154
28,20,4,2,0.0259876
28,20,8,2,0.0246135
24,16,16,2,0.0245928
20,16,20,2,0.0247726
20,12,20,2,0.0250298
16,12,24,2,0.0252997
16,8,24,2,0.0252414
0,20,28,2,0.0325012
24,24,4,2,0.0414632
28,24,4,2,0.0274984
16,24,12,2,0.031208
20,24,8,2,0.0278819
56,28,16,2,0.0254338
52,28,16,2,0.0262163
52,28,12,2,0.0246588
48,28,12,2,0.0258388
48,28,8,2,0.0253753
64,28,28,2,0.0243651
64,28,24,2,0.0243651
60,28,24,2,0.0279839
60,28,20,2,0.025056
56,28,20,2,0.0249816
16,24,24,2,0.0251141
20,24,20,2,0.0239946
40,28,4,2,0.0513221
16,20,20,2,0.0240728
28,24,8,2,0.0518957
24,20,12,2,0.0277812
16,16,28,2,0.0308821
12,16,28,2,0.0305968
16,20,28,2,0.0381825
20,20,20,2,0.029655
16,20,24,2,0.0260716
20,24,28,2,0.0268599
48,20,20,2,0.0289813
4,20,28,2,0.0265078
44,28,4,2,0.025736
12,24,16,2,0.0355883
36,24,8,2,0.0281548
36,24,4,2,0.025107
20,28,20,2,0.0260849
24,28,16,2,0.0695788
20,16,16,4,0.0262874
48,24,32,4,0.0254293
12,20,32,4,0.0262496
48,24,28,4,0.0266204
44,24,24,4,0.0253877
56,28,24,4,0.0249161
16,24,24,4,0.0255545
24,20,16,4,0.0263085
20,24,16,4,0.025429
56,20,28,4,0.0249919
36,24,8,4,0.0247424
40,24,8,4,0.0248581
36,24,4,4,0.0247755
12,20,20,4,0.0252152
28,32,16,4,0.0248581
4,16,28,4,0.0248581
8,20,24,4,0.0254774
28,24,4,4,0.0251017
12,16,28,4,0.0273634
16,16,24,4,0.0248581
20,24,8,4,0.0248581
24,24,8,4,0.0320043
24,24,4,4,0.0246923
20,20,16,4,0.0256188
32,32,12,4,0.025997
16,8,24,4,0.0247816
32,36,12,4,0.0312696
8,8,24,4,0.0249257
48,28,20,4,0.0253173
44,24,8,0,0.0251881
32,44,24,4,0.0272933
32,28,12,4,0.0265519
16,8,28,4,0.0267524
12,24,32,4,0.0247666
16,20,24,4,0.0247816
24,24,16,4,0.0247816
16,24,20,4,0.0247816
24,24,12,4,0.0247116
32,28,8,4,0.0248198
32,28,0,4,0.0261764
32,28,4,4,0.0247816
20,20,20,4,0.0253101
44,24,28,4,0.0258921
52,32,24,8,0.024679
60,16,28,8,0.0247028
40,28,8,8,0.0503522
20,28,28,4,0.0387136
48,24,16,4,0.0244306
16,20,16,4,0.0247816
28,28,0,6,0.0261228
28,32,8,6,0.0246933
32,24,0,6,0.0246933
28,20,4,6,0.0246212
28,20,8,6,0.03103
36,28,0,6,0.0258115
44,28,8,6,0.0246933
28,32,12,6,0.0250627
36,24,0,6,0.0263631
56,28,28,6,0.0247447
16,16,24,6,0.0249241
44,24,8,6,0.0246933
16,12,16,6,0.0309044
28,24,0,6,0.0252827
28,24,4,6,0.027354
12,16,20,6,0.0246933
36,28,4,6,0.0246933
40,24,4,6,0.0246933
12,12,20,6,0.0256117
12,12,16,6,0.0250889
12,16,16,6,0.0246933
28,36,20,6,0.0246933
28,40,24,6,0.0247428
20,20,8,6,0.0246933
20,16,12,6,0.0246933
24,20,4,6,0.0246933
16,16,12,6,0.0250613
16,16,16,6,0.0246933
24,20,8,6,0.0247374
16,12,20,6,0.0249947
20,16,16,6,0.0246612
16,16,20,6,0.0251966
56,16,24,6,0.0246933
56,16,28,6,0.0246933
32,28,4,6,0.0247187
24,20,12,6,0.0246933
52,20,16,6,0.0246933
48,20,16,6,0.0262035
16,16,12,2,0.0247755
24,24,16,2,0.0249447
24,20,4,2,0.0246933
20,20,8,2,0.0250421
16,24,32,2,0.0246933
20,20,12,0,0.0246933
8,20,24,0,0.0249099
8,20,20,0,0.0246933
12,20,20,0,0.0246933
12,20,16,0,0.0246933
48,24,28,0,0.0246933
48,24,32,0,0.0246933
12,24,28,0,0.0251239
24,24,24,0,0.0245972
16,24,24,0,0.0276019
48,20,12,0,0.024633
40,24,8,0,0.0246454
0,16,28,0,0.0246046
4,16,28,0,0.0246005
4,16,24,0,0.0245733
8,16,24,0,0.0246933
4,24,28,0,0.0246933
4,20,24,0,0.0246933
40,28,8,0,0.0289018
16,40,24,0,0.0282158
12,44,28,0,0.0311917
12,44,24,0,0.0246933
12,40,24,0,0.0246452
16,40,20,0,0.0246933
32,28,0,0,0.0247153
44,24,24,0,0.0245126
32,36,20,0,0.0245997
24,24,16,0,0.026771
32,28,4,0,0.0244538
28,28,4,0,0.0244538
32,36,24,8,0.0244538
28,32,4,0,0.0244538
28,32,8,0,0.0244538
24,32,8,0,0.0375887
20,24,12,0,0.02448
64,28,28,0,0.0249284
20,40,16,0,0.0294786
