x,y,z,t,prob
28,40,32,0,0.0273636
32,32,16,0,0.075069
32,32,8,0,0.192348
28,32,20,2,0.0274205
32,32,12,0,0.031206
16,20,16,0,0.0310368
12,20,16,0,0.0278848
8,12,20,0,0.190777
8,12,24,0,0.186766
4,8,24,0,0.0342825
12,20,28,2,0.03006
24,20,4,0,0.0274648
20,20,8,0,0.0275001
20,20,12,0,0.0349453
20,16,12,0,0.0280974
16,16,12,0,0.0286473
16,16,16,0,0.0502552
12,12,20,0,0.0264104
24,24,8,0,0.0383186
20,24,20,2,0.0264555
64,32,28,0,0.026204
4,8,28,0,0.0257445
0,36,28,0,0.026221
4,16,28,0,0.026241
8,16,28,0,0.0265442
4,16,24,0,0.026221
8,16,24,0,0.026241
8,12,28,0,0.026241
24,32,28,2,0.0323519
28,32,20,0,0.026241
4,12,28,0,0.0276847
16,12,20,0,0.0580612
16,12,24,0,0.0268423
12,12,24,0,0.0261873
12,12,28,0,0.183237
12,16,16,0,0.0262654
4,12,24,0,0.026241
12,16,20,0,0.026221
36,24,0,0,0.026221
60,32,28,0,0.0271781
60,12,20,0,0.0262793
56,12,20,0,0.0259365
28,20,4,0,0.192193
28,24,4,0,0.0335471
20,28,28,4,0.0259365
56,20,24,0,0.0259365
24,24,4,0,0.0259365
52,20,24,0,0.0259365
16,24,28,0,0.0259365
20,24,24,0,0.0259365
20,24,16,0,0.0259365
12,24,28,2,0.0258575
28,16,24,0,0.0259365
40,24,20,0,0.0340829
16,20,12,0,0.0259365
40,24,12,0,0.0258625
56,28,28,0,0.0257867
40,24,16,0,0.0259365
44,24,20,0,0.0259365
48,24,32,0,0.0284689
48,24,28,0,0.0258806
44,24,28,0,0.0259538
40,24,8,0,0.0272617
36,24,8,0,0.0288695
36,24,4,0,0.0273726
48,20,16,0,0.0263921
16,24,20,8,0.0277713
28,28,12,0,0.0271634
24,32,28,0,0.0259365
28,28,8,0,0.0259414
16,24,24,0,0.0295085
32,16,20,0,0.190813
16,20,20,0,0.0279625
12,24,32,2,0.0304562
56,32,28,0,0.0297788
56,32,32,0,0.0301783
12,16,24,0,0.0288338
20,20,16,0,0.028388
48,32,20,0,0.0442551
20,16,16,8,0.0492686
32,16,12,8,0.0269213
32,16,8,8,0.0262152
32,4,24,8,0.0257779
32,12,12,8,0.0253502
8,24,28,2,0.0262186
8,24,24,2,0.0253502
32,16,24,2,0.0274795
24,20,4,2,0.0966449
16,16,12,2,0.0853562
20,20,12,2,0.0747397
12,16,16,2,0.0956978
20,20,8,2,0.0730516
20,24,20,4,0.0358216
28,40,32,4,0.0724595
4,12,28,2,0.0375273
32,36,12,2,0.03005
32,32,8,2,0.0297188
32,44,24,2,0.0331105
8,12,24,2,0.0264052
32,40,24,2,0.0266473
32,40,20,2,0.0277391
32,36,20,2,0.0271125
12,12,28,2,0.0271193
32,32,4,2,0.0286826
12,12,24,2,0.0265552
32,40,28,2,0.0286826
32,28,8,2,0.0269591
56,20,20,2,0.0286826
44,28,16,2,0.0286826
28,28,8,2,0.0286826
24,28,16,2,0.0286826
32,32,12,2,0.0275488
28,24,8,2,0.0321848
24,36,28,2,0.0286826
20,20,20,2,0.0306409
16,24,32,4,0.031316
20,20,16,2,0.19078
16,20,24,2,0.0264345
8,16,24,2,0.0265936
56,16,24,2,0.0261458
28,36,28,4,0.0263812
28,32,24,2,0.0260775
16,16,16,2,0.0271602
48,28,16,2,0.0267859
8,12,28,2,0.0259732
24,28,12,2,0.0263273
12,16,16,6,0.0263493
48,28,20,6,0.0272784
44,28,12,6,0.0263273
56,28,28,6,0.0269595
56,28,24,6,0.0274909
52,28,24,6,0.0263273
52,28,20,6,0.0261557
20,20,8,6,0.0262433
20,16,12,6,0.0263273
16,20,24,8,0.0263273
16,16,12,6,0.0262824
64,28,24,6,0.0274721
48,28,12,6,0.0262823
48,28,8,6,0.0266601
44,28,8,6,0.0262009
60,28,20,6,0.0262009
56,28,20,6,0.028039
56,28,16,6,0.0262009
64,28,28,6,0.0289407
52,28,12,6,0.0262009
60,28,24,6,0.0265552
40,28,4,6,0.0289185
32,40,24,6,0.0316529
28,36,24,6,0.0262009
28,32,16,6,0.0287893
32,36,12,6,0.0287324
28,36,24,8,0.0302635
32,32,12,6,0.0288798
28,36,20,6,0.0262009
12,16,20,6,0.0267482
32,40,28,6,0.0262009
48,20,12,6,0.0261272
36,28,0,6,0.0258822
52,36,16,6,0.026142
52,36,12,6,0.0264791
52,32,28,6,0.0268689
56,32,32,6,0.0266566
32,44,28,4,0.0263042
40,24,4,6,0.0265552
48,24,12,6,0.0262009
32,28,4,6,0.0262009
32,28,12,6,0.0276908
24,20,4,4,0.0261272
12,16,16,4,0.0263775
8,12,20,4,0.0262009
16,16,12,4,0.0275359
24,20,20,4,0.0263312
20,20,20,4,0.0262009
20,16,20,4,0.0262009
20,16,24,4,0.0262009
20,16,28,4,0.0310221
16,16,28,4,0.0270802
28,24,8,4,0.026966
8,12,28,4,0.0262009
28,20,8,4,0.026329
36,28,12,4,0.0333906
36,28,8,4,0.0280515
36,28,4,4,0.0266676
48,32,24,4,0.0266229
48,28,24,4,0.0266862
48,28,20,4,0.0317002
44,28,16,4,0.026414
36,28,32,4,0.0262009
24,28,24,6,0.0259804
28,28,12,4,0.0261733
28,28,8,4,0.0262009
28,28,4,4,0.0262009
24,28,16,6,0.0262009
28,28,16,6,0.0262009
24,32,28,8,0.0260904
32,28,8,4,0.0257481
12,16,20,2,0.0262009
64,36,28,4,0.0324801
60,32,24,4,0.0265406
56,32,24,4,0.0262009
28,36,24,4,0.0268282
28,32,16,4,0.0270033
24,36,28,6,0.0262009
4,12,24,8,0.0275329
52,32,28,8,0.0264325
56,16,24,8,0.0259804
16,16,16,8,0.0262009
52,20,24,8,0.0262009
16,20,12,8,0.0495177
28,28,12,6,0.0262009
40,28,8,6,0.0267879
28,32,12,6,0.0262009
16,24,16,6,0.0262009
8,20,20,6,0.0261093
12,20,20,6,0.026018
56,16,28,6,0.0265255
48,24,16,6,0.0262009
24,24,4,6,0.0262009
16,20,16,6,0.0262009
52,20,20,6,0.0288175
12,20,24,6,0.026306
32,8,24,6,0.0261246
32,8,20,6,0.0260068
32,16,12,6,0.0261666
32,12,16,6,0.0282523
32,4,24,6,0.0258594
28,24,8,6,0.0261527
24,20,8,6,0.0261272
20,24,20,8,0.026132
24,24,12,6,0.0258569
20,28,24,8,0.0261448
48,28,16,6,0.0259305
56,32,24,6,0.0259804
52,32,20,6,0.0260904
52,32,24,6,0.137966
28,36,28,8,0.0375273
8,12,28,6,0.187784
20,20,16,6,0.0552116
24,40,28,4,0.111287
32,20,4,6,0.0967483
4,12,28,6,0.0391272
32,36,16,6,0.0479897
32,28,8,6,0.079253
48,32,16,6,0.0375273
28,32,24,0,0.18574
24,36,24,0,0.0753244
32,28,12,0,0.0279629
24,36,28,0,0.0843231
32,28,4,0,0.127499
20,16,16,0,0.0367943
16,16,20,0,0.0366217
60,32,28,4,0.0375273
28,20,12,4,0.0388155
20,16,12,4,0.0304082
16,20,24,6,0.0375273
28,32,20,4,0.0471772
12,12,20,2,0.0329448
64,32,28,4,0.0313424
32,12,20,4,0.0349129
32,16,16,4,0.0342167
24,36,20,4,0.031765
32,8,24,4,0.0304384
32,20,8,4,0.0363047
32,8,28,4,0.0363047
24,20,12,4,0.0309196
16,16,24,4,0.0279176
12,16,20,4,0.0741138
40,24,12,4,0.0515113
40,24,16,4,0.0438608
40,24,20,4,0.0375273
44,24,20,4,0.034956
44,24,24,4,0.0280986
44,24,28,4,0.0280918
48,24,28,4,0.0277789
36,24,4,4,0.0297948
36,24,8,4,0.0297948
32,44,32,2,0.0272037
40,24,8,4,0.0286641
32,36,20,4,0.0299953
28,40,32,6,0.0569892
32,44,24,4,0.0288951
32,32,4,4,0.0321877
32,32,8,4,0.0760712
32,36,16,4,0.0692533
4,12,28,4,0.0276216
56,32,28,4,0.0281809
8,8,28,4,0.0553058
8,8,24,4,0.0323397
32,28,8,0,0.0297948
8,8,28,0,0.0296074
4,8,32,0,0.0319266
28,40,28,0,0.0340785
32,36,20,0,0.027303
24,24,16,4,0.0277011
20,24,28,6,0.026241
52,20,24,4,0.0321487
12,20,32,6,0.0277256
32,24,4,4,0.0277256
28,24,12,4,0.0277256
12,16,28,4,0.0277256
48,24,12,4,0.026241
52,28,24,4,0.0277256
32,16,24,4,0.0277256
20,24,24,6,0.0286838
16,24,28,6,0.027849
48,28,16,4,0.0273099
28,24,4,4,0.0276172
20,28,28,8,0.026998
56,20,28,4,0.026998
12,20,28,4,0.0375273
52,20,20,4,0.026998
16,24,32,6,0.026998
8,16,24,4,0.026998
28,36,28,6,0.026998
56,28,28,4,0.0770417
