x,y,z,t,prob
40,24,12,2,0.108537
28,24,4,0,0.0205122
40,40,16,2,0.0573143
48,20,20,2,0.0387038
48,32,16,2,0.0521897
60,32,28,2,0.0528127
8,16,28,2,0.0534588
8,20,28,2,0.0521411
44,32,28,2,0.02856
8,12,28,2,0.21062
4,8,32,2,0.0539078
32,32,0,4,0.0535558
32,36,8,4,0.0534232
32,48,24,4,0.0299781
32,44,20,4,0.0247128
32,44,16,4,0.0389639
32,52,28,4,0.208765
32,52,32,4,0.0217095
32,40,12,4,0.0520696
56,32,24,8,0.0298275
56,16,28,4,0.0220606
52,20,24,4,0.0257366
48,20,16,4,0.0215241
36,24,0,4,0.0261763
56,16,24,4,0.020962
28,32,12,4,0.0208093
12,16,28,4,0.0208381
44,20,12,4,0.0223744
16,16,24,4,0.0206946
32,24,0,4,0.0206193
16,20,16,2,0.0215043
28,36,28,4,0.0206893
44,24,12,4,0.0281216
16,24,32,4,0.0206619
36,32,12,4,0.0207266
28,20,4,2,0.0209575
40,36,16,4,0.020642
24,20,4,2,0.0208342
36,36,16,4,0.0207741
36,36,12,4,0.0247179
36,32,4,4,0.0206645
36,28,0,4,0.0205899
36,32,8,4,0.0205451
28,36,20,2,0.0329335
28,32,20,2,0.0210513
24,20,16,2,0.0205066
44,20,8,2,0.0204788
32,44,24,2,0.0205872
8,20,24,0,0.216419
4,20,24,0,0.0205776
4,20,28,0,0.0223111
8,12,24,0,0.0206859
28,36,24,0,0.0205173
28,40,24,0,0.0211265
20,24,20,0,0.0204611
20,24,24,0,0.0204915
28,32,24,0,0.0204199
24,32,28,0,0.0204915
24,32,24,0,0.0205095
28,32,20,0,0.230361
28,32,16,0,0.0209361
28,28,8,0,0.0239706
60,32,28,0,0.020466
60,32,24,0,0.0209982
56,32,24,0,0.0206407
16,20,24,0,0.200439
52,32,20,0,0.0206069
52,32,16,0,0.0205686
44,28,8,0,0.0204661
52,28,16,0,0.0204661
44,28,12,0,0.0204597
48,28,12,0,0.020466
