x,y,z,t,prob
20,16,20,8,0.116705
24,20,20,8,0.0242217
8,12,24,8,0.0274125
56,28,20,8,0.20939
48,24,16,8,0.0245181
24,24,28,8,0.059515
52,24,28,8,0.0262984
24,28,28,8,0.0240287
24,28,32,8,0.0431761
0,40,28,8,0.0400983
12,16,16,8,0.0336219
16,20,12,8,0.0371898
28,24,4,8,0.0241422
20,20,32,8,0.0534719
24,24,20,8,0.0240534
36,40,16,8,0.03286
28,28,16,8,0.0266411
28,28,20,8,0.211983
20,20,28,8,0.023327
16,20,24,8,0.0450058
12,16,28,8,0.0272261
52,28,16,8,0.022871
60,16,24,8,0.20939
8,16,20,8,0.0327667
4,12,24,8,0.0254083
0,12,28,8,0.0234639
52,12,24,8,0.0227866
16,12,20,8,0.0226039
40,20,8,8,0.0243905
20,16,16,8,0.0243484
52,16,20,8,0.0236303
36,40,28,8,0.212997
12,8,24,8,0.0233905
36,40,24,8,0.0226341
16,12,16,8,0.0226341
12,12,32,8,0.0223083
12,12,20,8,0.0223083
44,20,8,8,0.0225026
56,24,24,8,0.0224811
24,24,24,8,0.0224811
8,12,28,8,0.0223893
40,40,32,8,0.0223592
48,16,12,8,0.0230091
40,40,28,8,0.0222609
40,36,28,8,0.0224669
16,12,24,8,0.0224811
40,36,20,8,0.0224811
40,32,16,8,0.0227376
36,32,16,8,0.0225425
36,28,8,8,0.0229827
36,32,8,8,0.0228861
40,36,24,8,0.0226358
4,8,24,8,0.023364
8,12,20,8,0.0234929
60,12,24,8,0.0225111
16,16,16,8,0.0227814
60,12,28,8,0.206657
12,12,24,8,0.0224512
32,36,20,8,0.0229803
32,36,24,8,0.0238726
24,32,28,8,0.0224284
20,24,24,8,0.0246847
32,32,16,8,0.0269218
52,32,24,8,0.0223066
52,32,20,8,0.20939
48,32,20,8,0.0222826
48,32,16,8,0.0221154
56,32,28,8,0.0222577
56,32,24,8,0.20939
8,36,20,4,0.0222274
16,12,28,4,0.20939
20,32,8,4,0.0228166
56,36,24,4,0.0223405
8,12,24,4,0.0226137
48,16,32,8,0.0223009
44,20,28,8,0.0285897
32,28,4,6,0.0230265
28,20,4,6,0.023144
48,16,28,8,0.20939
32,32,4,6,0.0250324
32,32,8,6,0.023693
52,12,20,6,0.022234
52,12,24,6,0.0222364
40,20,4,6,0.0224427
48,16,16,6,0.022234
40,20,8,6,0.0222534
56,12,20,6,0.0224591
52,16,20,6,0.022404
24,32,32,6,0.0229177
32,36,32,6,0.0247624
24,32,28,6,0.0222979
16,12,20,6,0.0222979
36,28,8,6,0.0222979
40,32,20,6,0.0222711
56,12,24,6,0.0221608
40,36,28,6,0.20939
24,20,8,6,0.0221895
40,20,20,6,0.210859
40,20,16,6,0.0239802
36,28,0,6,0.0222444
16,16,24,6,0.0222979
28,24,8,6,0.0222021
16,16,28,6,0.0222084
32,32,12,6,0.0222801
24,32,4,6,0.0221511
56,12,28,6,0.0221703
32,28,8,6,0.0221967
32,28,12,6,0.0221895
44,40,32,6,0.0222002
40,32,4,6,0.0232967
52,36,20,6,0.0221895
56,40,20,6,0.0221895
52,36,16,6,0.0223441
64,44,28,6,0.0221895
56,40,24,6,0.0221895
48,36,16,6,0.0221612
48,36,12,6,0.0221895
60,40,28,6,0.0221895
44,32,8,6,0.0225276
36,20,24,6,0.0221895
32,36,12,6,0.0221895
60,12,28,6,0.0221895
36,44,24,6,0.0221895
20,24,24,6,0.0221895
32,32,24,6,0.0287957
16,36,20,6,0.0226925
4,40,28,6,0.0222591
8,40,28,6,0.0222274
12,12,24,6,0.0222806
20,20,12,6,0.022266
36,24,24,6,0.0221665
24,20,12,6,0.0224203
36,20,12,6,0.0369586
36,20,8,6,0.0231874
36,20,4,6,0.0221895
36,16,12,6,0.0352664
36,24,4,6,0.0227913
36,24,0,6,0.022578
32,24,0,6,0.0221895
36,12,28,6,0.0221895
36,16,20,6,0.0221895
36,16,16,6,0.0386936
32,24,0,0,0.0221811
52,16,16,2,0.0221895
48,20,28,4,0.0221895
20,24,8,2,0.0221803
32,32,12,2,0.0222119
16,20,24,2,0.0221895
12,16,32,2,0.0222925
40,20,8,2,0.0221895
52,12,24,2,0.0221895
20,20,8,2,0.20939
8,16,20,2,0.0221767
8,16,24,2,0.022132
16,20,12,2,0.0221895
32,40,24,2,0.0221895
28,36,32,2,0.0221895
32,28,16,2,0.0240302
12,8,28,2,0.0228987
48,24,12,2,0.0221895
44,24,12,2,0.0221895
40,24,4,2,0.0239898
56,24,20,2,0.0226616
36,20,28,4,0.0221895
32,28,8,2,0.0223069
52,24,16,2,0.0221795
32,24,8,2,0.027289
24,28,24,2,0.0222165
28,36,28,2,0.0221895
28,24,0,2,0.0221895
8,8,24,2,0.0221895
16,12,20,2,0.0222007
24,20,8,2,0.027923
12,12,20,2,0.0227994
20,16,12,2,0.0232742
4,20,28,2,0.0221895
4,20,24,2,0.0222663
0,20,28,2,0.0221895
44,24,16,2,0.0221474
8,20,20,2,0.0291781
16,24,12,2,0.0221607
32,36,16,2,0.0221895
12,20,16,2,0.0222112
28,24,4,2,0.0222122
24,24,4,2,0.0221895
32,36,32,2,0.026655
48,24,24,2,0.207028
28,20,12,2,0.0255732
32,28,12,2,0.0326555
8,44,24,2,0.0242994
4,44,24,2,0.0234128
24,32,32,2,0.022132
24,28,28,2,0.0222076
28,28,28,2,0.0221895
28,28,24,2,0.0222112
8,40,24,2,0.0224569
28,28,20,2,0.0221559
28,28,16,2,0.0225367
20,32,8,2,0.035563
24,32,8,2,0.022295
20,32,12,2,0.0437964
24,32,4,2,0.022221
28,32,4,2,0.0224578
12,40,20,2,0.0222267
12,36,20,2,0.0222267
12,36,16,2,0.0224228
16,36,12,2,0.0239061
20,36,12,2,0.202881
32,36,28,2,0.0226206
32,32,20,2,0.0221895
32,32,16,2,0.0222534
28,28,0,2,0.0221895
60,20,20,0,0.0221961
60,20,24,0,0.0221895
64,20,28,0,0.0222622
36,24,16,6,0.022173
12,20,20,6,0.0222379
16,16,16,6,0.022792
20,20,28,6,0.0221895
28,24,12,6,0.0222872
20,20,32,6,0.0222058
36,24,8,6,0.0264568
16,16,20,6,0.022197
20,24,32,6,0.0261597
24,24,20,6,0.0258208
16,36,16,6,0.0221895
12,12,20,6,0.0221918
32,44,28,6,0.0221895
56,24,24,6,0.0221895
48,24,20,6,0.0221895
32,24,8,6,0.0222183
8,44,28,6,0.0224084
48,24,12,6,0.0221994
40,24,12,6,0.0221895
36,24,12,6,0.0221895
8,40,24,6,0.0221818
44,20,20,6,0.0227298
8,20,24,6,0.0221895
4,16,28,6,0.0227784
48,16,12,6,0.209324
64,28,24,6,0.0221639
4,8,28,6,0.0222775
8,8,24,6,0.0221895
20,16,16,6,0.0221895
56,28,16,6,0.0221616
