x,y,z,t,prob
60,36,24,6,0.24615
60,36,28,6,0.0402808
60,40,28,6,0.0390819
8,20,20,6,0.0232146
52,32,16,6,0.231183
52,36,16,6,0.0188731
12,20,16,6,0.0189332
52,36,20,6,0.0188567
56,36,20,6,0.0187655
56,36,24,6,0.0441904
48,20,20,6,0.0196036
12,20,20,2,0.0240892
28,36,16,6,0.0185446
12,16,16,2,0.0186609
28,32,12,6,0.0188128
16,20,28,6,0.0186411
56,40,28,6,0.0187125
20,20,20,6,0.0220989
24,40,28,6,0.0192159
20,20,24,6,0.0188096
44,32,12,6,0.0189362
48,32,16,6,0.0187638
8,24,24,2,0.0192292
24,40,20,6,0.019048
48,32,12,6,0.0189881
12,16,32,6,0.0188567
60,16,28,6,0.018873
64,16,28,6,0.0186082
36,24,12,6,0.0187631
20,20,20,2,0.0187755
36,36,16,6,0.0217412
44,32,4,6,0.0194313
48,20,12,6,0.0221301
16,24,20,6,0.018786
60,32,24,6,0.0185363
12,20,24,2,0.0190483
28,36,20,6,0.0190483
12,20,16,2,0.0190483
28,36,12,6,0.0190483
52,28,20,6,0.0190483
12,24,20,6,0.0190713
4,24,28,6,0.0190483
16,20,16,2,0.0190483
32,36,12,6,0.0190321
8,20,24,2,0.0194251
24,36,20,6,0.0187991
60,32,20,6,0.0190483
12,16,20,2,0.246817
28,32,16,6,0.020275
24,16,16,6,0.0186758
56,24,24,6,0.0189343
52,24,24,6,0.0190457
52,24,20,6,0.0190483
44,24,12,6,0.0190483
52,28,28,6,0.0190483
56,28,24,6,0.0190483
36,28,16,4,0.0190866
4,12,24,4,0.0190483
12,8,28,4,0.0190483
12,20,16,4,0.0190483
20,20,12,4,0.0190866
20,24,8,4,0.0190675
8,20,20,4,0.0190483
8,16,20,4,0.0190483
12,20,20,4,0.0190483
16,16,12,0,0.0188874
32,32,8,4,0.0197225
48,16,12,6,0.0190483
16,16,24,4,0.0190483
24,20,16,4,0.0190866
4,16,28,4,0.0190483
4,16,24,4,0.0190483
8,20,28,0,0.0194494
24,36,24,4,0.0190483
24,24,16,4,0.0190354
12,16,20,0,0.0188694
28,32,16,4,0.0186786
28,24,16,4,0.0188523
4,24,28,0,0.0185649
20,40,24,4,0.0190483
40,40,20,8,0.0190483
8,8,28,0,0.0189679
24,24,24,4,0.0190483
4,8,28,0,0.0187464
20,24,24,4,0.0188148
20,24,28,4,0.0188874
8,8,24,0,0.0188203
24,24,20,4,0.0190444
8,20,24,0,0.0190053
24,36,20,4,0.0217509
4,24,32,0,0.0195539
20,40,28,4,0.0187921
20,40,32,4,0.018758
8,16,24,4,0.0189589
8,24,28,0,0.0325769
24,40,24,4,0.0187642
28,28,4,4,0.0186478
28,32,4,4,0.0377277
36,12,28,0,0.246817
52,28,24,4,0.0192487
0,28,28,4,0.0185496
24,32,4,4,0.0187072
28,28,0,4,0.0187725
60,32,28,4,0.0188429
24,12,32,0,0.0186449
40,28,28,4,0.0187802
16,40,16,4,0.0188429
16,40,20,4,0.0188429
12,40,20,4,0.018548
64,8,28,6,0.0187078
24,20,24,6,0.0185941
24,16,24,6,0.0186222
44,28,16,6,0.0188429
40,28,12,6,0.0186849
28,28,12,6,0.0188429
32,60,24,6,0.0185491
32,56,20,6,0.0185957
16,20,12,2,0.0187246
32,36,8,6,0.018718
32,36,4,6,0.0186594
8,12,28,6,0.0186452
32,32,4,6,0.0185608
32,32,0,6,0.0185718
32,44,16,6,0.0186277
32,44,12,6,0.0192059
16,24,16,2,0.018511
32,40,12,6,0.0189557
32,40,8,6,0.0189053
32,0,28,6,0.0186709
32,60,28,6,0.018661
28,36,28,6,0.0186045
16,16,16,2,0.0189102
32,32,12,6,0.018968
12,12,20,6,0.245068
12,16,16,6,0.0187408
8,12,20,6,0.019447
12,12,28,6,0.0189596
12,12,24,6,0.0187403
16,24,28,6,0.0187911
32,44,28,6,0.0352184
32,44,24,6,0.0188299
12,24,24,6,0.228054
52,36,24,6,0.0189296
16,16,20,6,0.0188342
48,36,16,6,0.0188977
48,36,20,6,0.0189025
40,32,8,6,0.0189025
12,16,28,2,0.0189296
28,32,24,6,0.0189296
32,44,32,6,0.0189296
16,24,24,2,0.0188952
32,40,20,6,0.0189401
8,12,28,2,0.0189296
24,28,24,6,0.0189296
56,40,24,6,0.0188533
16,20,12,6,0.018951
24,24,4,6,0.0186689
60,8,24,6,0.0185526
40,20,8,6,0.0189888
56,12,20,6,0.0227376
52,16,20,6,0.0189062
52,16,16,6,0.231382
48,16,16,6,0.018918
28,20,16,6,0.0185891
24,20,20,6,0.01865
24,20,16,6,0.0189453
20,16,32,6,0.0189453
16,16,12,8,0.0189374
24,20,8,8,0.0189015
