x,y,z,t,prob
8,8,28,0,0.0892325
24,24,24,4,0.0658658
44,24,4,4,0.045766
40,24,4,4,0.0785173
56,28,24,4,0.0467544
20,16,20,4,0.0457429
48,28,16,4,0.044781
48,20,12,4,0.0483379
56,16,20,4,0.0410617
28,12,24,4,0.042802
32,20,4,4,0.0399462
32,20,12,4,0.0483379
12,8,24,4,0.0443939
32,20,8,4,0.0399656
32,24,4,4,0.0408805
32,24,0,4,0.0448943
36,20,12,4,0.0550709
36,16,12,4,0.0363155
36,20,4,4,0.0362607
36,20,8,4,0.0381753
16,12,24,4,0.148345
32,40,16,4,0.0397115
8,16,24,4,0.0726189
8,16,20,4,0.0546609
12,12,28,4,0.0373446
12,8,28,4,0.0427742
0,40,28,4,0.0380048
64,40,28,4,0.0380048
4,28,24,4,0.0369477
4,28,28,4,0.0413392
64,40,24,4,0.0369521
64,36,24,4,0.0406229
60,20,28,6,0.0486338
16,28,12,4,0.0380048
12,28,16,4,0.0380048
12,28,20,4,0.0380048
8,28,20,4,0.0380048
8,8,24,6,0.0373828
8,28,24,4,0.0375257
52,16,24,6,0.0424415
36,28,16,4,0.0367965
36,28,20,4,0.0371558
36,28,24,4,0.0401182
56,36,16,4,0.036731
36,28,32,4,0.0396904
56,20,28,6,0.0738042
60,36,20,4,0.0368519
64,36,28,4,0.0355542
56,36,20,4,0.0369876
8,24,32,4,0.0355542
8,8,24,0,0.0368208
24,24,20,4,0.0364295
16,16,16,0,0.0364295
40,28,28,2,0.0364295
40,32,4,2,0.0364295
44,32,4,2,0.037628
28,32,16,2,0.0423536
16,12,28,2,0.0386653
36,24,0,4,0.0368513
28,24,0,4,0.0357868
28,20,4,4,0.035975
20,20,16,4,0.0352088
24,20,4,4,0.035975
16,12,16,0,0.035975
32,28,12,4,0.0354646
56,16,28,4,0.035975
28,24,12,4,0.035975
52,20,16,4,0.035975
56,20,20,4,0.035975
36,24,8,4,0.035975
20,16,12,4,0.035975
24,24,16,4,0.0352088
12,12,16,0,0.0357222
28,28,12,4,0.035975
52,16,24,4,0.035975
52,16,20,4,0.035975
8,12,20,0,0.0358941
24,28,16,4,0.035975
48,20,16,4,0.0408011
4,8,24,0,0.035975
20,24,20,4,0.0381924
28,24,4,4,0.035975
56,20,24,4,0.0362039
60,16,28,4,0.0367601
32,32,4,4,0.0394906
48,24,28,4,0.0377086
40,24,16,4,0.0374513
56,32,20,4,0.0383095
60,32,20,4,0.0424399
48,28,8,4,0.0391687
64,28,24,4,0.0355166
32,56,20,8,0.0355166
52,28,12,4,0.0355166
60,28,24,4,0.0374295
60,28,20,4,0.0469219
56,32,16,4,0.0355166
56,28,20,4,0.0464018
56,28,16,4,0.0355166
24,36,28,4,0.0355166
44,24,20,4,0.0355166
24,20,8,4,0.0388841
20,20,20,4,0.0387712
48,28,24,4,0.0355166
8,12,28,0,0.0355166
24,28,24,4,0.0355166
4,8,28,0,0.0361659
20,24,24,4,0.0379418
24,28,24,8,0.0472181
8,12,28,4,0.0355166
28,36,28,8,0.0813343
60,16,28,8,0.0472213
12,16,16,4,0.0385518
32,24,4,6,0.0370524
28,24,8,6,0.0386317
0,12,28,6,0.035345
20,16,20,6,0.0366814
8,12,24,6,0.035089
8,16,24,6,0.0548948
20,16,24,6,0.0355166
24,20,20,6,0.0355166
4,12,28,6,0.0355166
24,16,20,6,0.0355166
44,28,12,6,0.0355166
32,56,28,0,0.0351422
44,28,8,6,0.0355166
40,28,4,6,0.0355166
52,32,20,6,0.0355166
52,32,16,6,0.0370532
48,28,16,6,0.0355166
48,28,12,6,0.0355166
20,28,28,6,0.0355166
4,12,28,2,0.0355166
20,28,24,6,0.0377264
8,12,24,2,0.0355166
24,28,20,6,0.0355166
8,12,20,2,0.0355166
24,28,16,6,0.0352594
12,12,20,2,0.0360333
28,28,16,6,0.0436678
52,28,28,6,0.0376817
48,28,24,6,0.0359025
44,28,16,6,0.050514
40,28,12,6,0.0389997
16,24,28,2,0.0346567
32,40,24,6,0.0449224
64,32,28,6,0.0346567
60,32,28,6,0.0361314
60,32,24,6,0.0375052
16,16,16,2,0.148212
32,32,12,6,0.0363534
60,20,24,6,0.0362971
56,20,24,6,0.0366292
8,20,28,6,0.0348771
12,24,24,6,0.0379601
12,24,20,6,0.0348771
28,28,12,6,0.036988
28,28,8,6,0.0414589
28,28,4,6,0.0336933
12,20,28,6,0.0888735
16,24,16,6,0.0642838
20,24,16,6,0.0797963
16,24,20,6,0.074622
20,24,12,6,0.074622
24,24,12,6,0.074622
24,24,8,6,0.0886035
8,24,24,6,0.0820362
16,20,20,0,0.0646512
32,36,16,4,0.084663
44,32,8,2,0.0881205
48,32,8,2,0.037653
48,32,12,2,0.0362006
48,36,12,2,0.0371174
36,28,0,2,0.0430507
36,28,4,2,0.0430507
40,28,4,2,0.0427339
60,40,20,2,0.109672
60,40,24,2,0.0885056
64,40,24,2,0.0425984
64,44,24,2,0.0459296
64,44,28,2,0.0882684
52,36,12,2,0.0454448
52,36,16,2,0.0424249
56,36,16,2,0.0490398
56,36,20,2,0.0530749
56,40,20,2,0.0496651
32,36,20,2,0.0417351
28,32,20,2,0.0448226
28,36,20,2,0.0544247
28,36,24,2,0.0496845
28,36,28,2,0.04701
4,16,28,2,0.0504383
12,20,24,2,0.0407918
8,20,20,2,0.0585956
12,20,20,2,0.0672694
4,16,24,2,0.0399559
8,16,24,2,0.0399559
64,16,28,2,0.0386932
64,16,32,2,0.0399559
52,20,16,2,0.0399559
12,16,32,2,0.0399559
16,24,20,2,0.0395231
20,24,8,2,0.0386932
8,20,28,2,0.0399559
12,24,20,2,0.0399559
12,24,16,2,0.0399559
16,24,16,2,0.0452849
12,24,24,2,0.0398436
28,28,20,2,0.148702
8,20,24,2,0.0721688
0,16,28,2,0.0882265
20,24,20,2,0.0429877
44,28,16,2,0.0377875
8,16,20,2,0.150789
32,40,28,2,0.150789
24,20,8,2,0.041375
40,28,12,2,0.0566826
48,28,20,2,0.0412837
8,24,28,2,0.0609398
4,24,28,2,0.0568716
24,16,16,2,0.0559647
52,28,20,2,0.0869915
52,28,24,2,0.0376225
24,20,16,2,0.0482481
36,28,16,2,0.037185
48,40,28,4,0.0480667
48,40,24,4,0.037304
4,8,32,0,0.0376225
20,24,28,4,0.0465518
12,24,24,4,0.0622729
20,24,12,4,0.0391858
60,24,24,4,0.0389397
60,20,24,4,0.0376225
36,8,32,4,0.0383814
20,24,8,4,0.0420236
44,24,28,4,0.0375537
36,24,12,4,0.0489804
32,44,28,4,0.0484072
16,12,28,4,0.0383814
40,28,8,4,0.0418872
60,32,32,4,0.0480605
44,28,28,4,0.0590258
36,28,12,4,0.0410212
52,36,16,4,0.0418931
12,16,24,0,0.039499
28,32,20,4,0.0391776
12,12,20,0,0.0400742
28,28,16,4,0.0493005
28,28,8,4,0.0376225
24,28,28,4,0.0376225
44,28,24,4,0.0375427
20,28,8,4,0.0376225
24,28,8,4,0.0422976
12,20,24,0,0.0383117
28,36,20,4,0.0477654
12,16,20,0,0.0394701
28,32,16,4,0.0567322
20,20,24,4,0.0417495
20,20,16,0,0.0392915
36,36,12,4,0.0366851
40,40,24,4,0.0382397
40,36,20,4,0.0389372
24,24,24,0,0.0366851
40,40,20,4,0.0370511
20,16,16,0,0.0519845
36,32,12,4,0.0655895
36,32,4,4,0.0717437
36,28,4,4,0.0539919
40,44,24,4,0.0493808
40,44,28,4,0.0575349
20,16,12,0,0.0449316
36,32,8,4,0.149679
36,28,0,4,0.0433426
48,28,20,4,0.0482798
40,36,16,4,0.0527681
20,20,20,0,0.0381755
36,36,16,4,0.0393255
20,24,16,4,0.0461742
16,24,20,4,0.0398134
60,16,28,6,0.0428182
48,20,16,6,0.0418535
28,24,4,6,0.0410562
20,24,20,6,0.0411629
28,24,0,6,0.041588
16,24,32,6,0.039175
44,24,28,6,0.0412147
40,24,20,6,0.0388216
40,24,16,6,0.0426604
40,24,8,6,0.0405277
44,24,20,6,0.15049
48,24,28,6,0.0397197
36,24,4,6,0.0588888
40,24,12,6,0.0392043
36,24,8,6,0.03969
8,12,28,6,0.0403442
32,32,4,6,0.0394967
32,28,0,6,0.0406823
16,16,12,2,0.0425842
32,32,8,6,0.0383632
28,40,28,6,0.0406062
12,24,28,2,0.0391179
28,40,24,6,0.0391179
32,44,28,6,0.0436707
32,44,32,6,0.0391179
16,20,24,2,0.0391179
32,36,20,6,0.0391179
16,20,20,2,0.0727994
32,36,16,6,0.0391179
16,24,24,2,0.0391179
32,40,20,6,0.0393465
16,16,24,6,0.0391179
12,16,24,6,0.0388353
16,20,20,6,0.038742
40,28,8,6,0.0391179
56,28,24,6,0.0391179
48,32,20,6,0.0393896
12,20,20,6,0.0876789
8,16,28,6,0.0391179
4,16,28,6,0.0597612
16,20,16,6,0.0386156
52,32,28,6,0.0391179
52,32,24,6,0.0502295
16,20,12,6,0.0391179
16,16,16,6,0.0382225
20,20,12,6,0.0555179
8,16,20,6,0.0435249
20,16,28,6,0.0391179
12,16,20,6,0.0391179
12,16,16,6,0.0419312
20,20,8,6,0.0391179
12,12,28,6,0.0415497
24,24,4,6,0.0382225
4,12,24,6,0.0421207
28,20,8,6,0.0382225
44,24,32,2,0.0411148
44,24,28,2,0.0446763
52,16,20,2,0.0389748
56,28,24,2,0.0392284
52,24,20,2,0.0391179
4,20,28,2,0.0391179
20,20,8,2,0.0391179
24,16,12,2,0.0387175
52,20,20,2,0.0398732
56,20,24,2,0.0391179
56,20,28,2,0.0391179
48,24,12,2,0.0391179
24,24,4,2,0.0389556
44,28,8,2,0.0391179
12,12,28,2,0.0391179
16,16,24,2,0.0391179
24,28,20,2,0.0472633
24,28,24,2,0.0481721
20,28,24,2,0.0506034
32,28,0,2,0.0391179
48,20,20,2,0.0391179
60,24,24,2,0.0385188
56,24,24,2,0.0382225
60,24,28,2,0.0386677
20,28,28,2,0.0391179
60,16,32,2,0.0391179
20,24,16,2,0.0391179
44,24,24,2,0.0391179
48,20,16,2,0.0391179
40,24,12,2,0.0402121
24,28,16,2,0.0399287
32,44,24,2,0.0391179
32,44,28,2,0.0391179
32,44,32,2,0.0391179
32,40,16,2,0.0407625
48,24,16,2,0.0387586
48,28,16,2,0.0391179
56,32,24,2,0.0381268
56,32,28,2,0.0387742
20,24,24,2,0.0401698
24,24,20,2,0.0383632
20,24,28,2,0.0391179
28,28,8,2,0.0485981
24,28,24,6,0.0391179
8,12,28,2,0.0393226
60,32,32,2,0.0399576
20,20,12,2,0.0381477
16,24,12,2,0.0390768
20,24,12,2,0.0392859
24,24,8,2,0.039229
60,32,28,2,0.0389942
28,28,12,2,0.0400859
24,32,20,2,0.0380091
24,32,24,2,0.0381449
16,20,12,2,0.0501717
40,24,20,2,0.0435745
56,32,32,2,0.0395795
36,24,12,2,0.038966
32,24,0,0,0.0803701
28,20,8,0,0.0392481
32,48,24,0,0.042889
28,24,4,0,0.037347
36,24,0,0,0.0389395
24,20,4,0,0.0382226
32,44,20,0,0.0449266
32,28,12,0,0.043122
28,36,28,0,0.0390773
28,36,24,0,0.037347
28,32,12,0,0.0384001
32,32,16,0,0.0383133
32,28,8,0,0.128099
36,24,4,0,0.130657
32,36,24,0,0.11351
24,20,12,0,0.107361
28,24,8,0,0.117487
12,12,28,0,0.0366599
56,20,20,0,0.106008
52,20,16,0,0.111875
12,12,16,8,0.0995123
60,16,24,0,0.128128
32,32,8,0,0.0871025
32,36,12,0,0.0952313
32,40,28,0,0.107985
32,32,12,0,0.0999479
36,32,4,0,0.0365406
40,44,24,0,0.0913149
40,44,28,0,0.113741
36,28,4,0,0.108584
36,36,16,0,0.0359194
16,12,20,0,0.112172
36,28,0,0,0.12409
36,32,8,0,0.0358153
36,32,12,0,0.105116
40,36,20,0,0.121299
36,36,12,0,0.103114
40,36,16,0,0.0890886
44,28,16,0,0.0890857
24,24,16,0,0.089228
56,28,28,0,0.0772528
52,28,24,0,0.0896143
28,24,12,0,0.089228
12,8,24,0,0.089228
32,44,24,0,0.0726458
32,32,4,0,0.149429
24,20,16,0,0.0880951
56,28,24,0,0.0644797
20,24,28,0,0.061937
48,28,24,0,0.089228
60,16,28,0,0.0869915
28,40,24,0,0.089228
28,44,32,0,0.0917602
28,40,32,0,0.0889939
28,40,28,0,0.107412
32,36,20,0,0.10123
24,24,8,0,0.084065
20,28,12,4,0.0372163
16,16,12,0,0.0754214
32,32,8,4,0.0368359
24,36,24,4,0.087923
40,28,4,4,0.150298
44,28,4,4,0.088966
60,32,24,4,0.0996556
64,32,24,4,0.0802164
64,16,28,6,0.0568569
48,32,8,4,0.0664646
56,40,24,4,0.0673732
52,32,20,4,0.0939836
60,36,24,4,0.0887125
52,36,20,4,0.0356924
60,36,28,4,0.0893483
52,36,24,4,0.08768
56,36,24,4,0.0655876
56,36,28,4,0.0921492
40,28,16,4,0.0352088
44,28,20,4,0.0801749
48,32,12,4,0.0908458
52,32,16,4,0.0394936
36,28,8,4,0.0876241
40,28,12,4,0.0597215
52,32,12,4,0.0941049
12,16,28,0,0.0884326
28,32,24,4,0.0609833
60,40,28,4,0.0730747
12,12,24,0,0.0478016
28,28,20,4,0.0884937
8,16,28,0,0.0867698
24,32,24,4,0.0886789
24,32,28,4,0.056226
56,40,28,4,0.0871696
60,28,32,4,0.0577757
48,36,20,4,0.0368032
56,28,28,4,0.0890086
60,28,28,4,0.104142
44,32,8,4,0.052695
32,28,8,4,0.150511
20,16,24,4,0.0890305
28,40,28,4,0.0367759
12,24,28,0,0.0871715
28,40,24,4,0.0488989
12,20,28,0,0.0549328
28,36,24,4,0.0479801
44,28,16,4,0.0489174
16,16,24,4,0.0489174
24,20,12,4,0.0474264
24,20,16,4,0.0474264
0,20,28,4,0.0457641
48,36,16,4,0.0474264
28,20,16,4,0.0496416
52,16,24,8,0.0384094
36,24,0,8,0.0464742
40,20,4,8,0.08122
20,40,20,8,0.0474264
12,20,16,2,0.0474264
24,24,12,2,0.150762
4,12,24,2,0.0762195
32,36,12,2,0.0877313
32,40,20,2,0.0470234
32,40,24,2,0.087828
32,36,16,2,0.0465882
8,16,28,2,0.0489838
8,12,32,2,0.0360927
44,20,8,2,0.0891154
48,20,8,2,0.0474264
44,24,4,2,0.101442
48,20,12,2,0.0526728
52,20,12,2,0.0498297
20,12,24,2,0.0868866
20,12,28,2,0.0877984
40,24,4,2,0.0474264
64,12,24,2,0.0460047
60,16,20,2,0.0460047
60,16,24,2,0.046711
64,16,24,2,0.0483268
0,12,28,2,0.0463566
64,12,28,2,0.0888409
56,16,16,2,0.114728
52,16,16,2,0.0460047
56,16,20,2,0.0460047
32,24,4,2,0.0460047
24,16,20,2,0.0460047
24,20,12,2,0.0519353
20,16,20,2,0.0460047
20,16,24,2,0.0633658
28,20,8,2,0.0750726
28,20,12,2,0.0576285
52,32,20,2,0.0612743
44,28,12,2,0.0460047
52,32,24,2,0.0460047
52,32,28,2,0.0460047
40,28,24,2,0.0460047
32,28,8,2,0.0460047
32,28,12,2,0.0460047
32,32,12,2,0.14894
28,32,12,2,0.0460047
28,28,16,2,0.0449224
28,32,24,2,0.0456324
