x,y,z,t,prob
20,16,12,8,0.148395
48,24,16,4,0.11044
20,16,16,8,0.0264504
16,12,20,8,0.0142937
16,16,20,8,0.0118381
44,24,16,4,0.110386
16,16,16,8,0.0130458
24,20,8,8,0.0129538
24,16,12,8,0.0114402
32,32,4,8,0.0113129
32,28,4,8,0.0115566
32,28,0,8,0.0112613
32,16,24,0,0.0110723
16,20,28,8,0.0110088
16,20,24,8,0.0105548
36,40,20,8,0.00981259
24,24,16,4,0.0108318
36,36,20,8,0.00966534
24,28,20,4,0.00969441
36,36,16,0,0.00973673
28,24,12,0,0.00966308
24,24,16,0,0.00971326
28,24,8,0,0.0108776
20,20,24,0,0.00964039
20,20,28,0,0.302928
32,36,16,0,0.00965094
40,36,20,2,0.0106387
32,28,8,2,0.00964829
24,28,32,2,0.00958611
40,28,32,2,0.0113867
32,24,20,2,0.00967925
28,28,16,2,0.314755
28,24,0,4,0.00961286
36,28,24,4,0.0097093
24,16,12,0,0.00968681
36,28,16,4,0.00961868
40,28,28,4,0.00968313
40,28,24,4,0.0107009
36,28,12,4,0.0096188
36,28,20,4,0.00961734
20,16,12,0,0.00961061
32,28,16,4,0.00961734
36,28,28,4,0.00965096
20,28,32,4,0.00961286
24,28,28,4,0.00972647
40,28,32,4,0.00981953
28,28,0,4,0.00960899
12,16,28,0,0.0107258
24,28,32,4,0.00959167
28,28,16,6,0.010073
40,28,28,6,0.00959167
28,28,0,6,0.00959985
56,24,28,6,0.00960394
52,24,24,6,0.00960395
4,20,28,6,0.00964485
40,28,24,2,0.00961732
12,20,24,6,0.00958461
44,24,12,6,0.0096519
24,20,16,6,0.00960932
32,36,32,6,0.00958832
24,20,12,6,0.00965177
32,36,28,6,0.00959948
16,20,24,6,0.00959948
36,24,4,6,0.00963593
32,36,24,6,0.00963726
12,20,20,6,0.00961145
20,20,16,6,0.00959501
32,32,24,6,0.00958833
60,12,28,6,0.00960146
12,8,24,6,0.00960823
44,20,12,6,0.00959501
28,32,28,0,0.00959501
52,16,16,6,0.009595
52,12,20,4,0.00959501
44,20,8,4,0.00959501
44,20,12,4,0.00963679
48,16,12,4,0.00959501
52,16,16,4,0.00962221
36,24,12,0,0.0104258
36,24,20,0,0.00960542
48,20,32,0,0.00967837
48,20,28,0,0.302928
44,20,28,0,0.00962573
36,32,12,0,0.00961456
48,16,32,0,0.00959476
36,24,16,0,0.00959013
28,24,0,2,0.00959018
32,28,12,2,0.00959055
28,28,12,2,0.00958611
24,28,20,2,0.00958611
28,28,8,2,0.00959054
36,32,16,6,0.00962888
32,24,12,2,0.00958634
32,24,16,2,0.0095896
36,28,16,2,0.0096017
28,24,4,2,0.00958611
32,24,4,2,0.010689
12,12,24,8,0.0095809
12,16,20,0,0.00959765
24,28,24,4,0.010973
36,40,28,8,0.00964606
12,8,24,8,0.00963369
12,8,28,8,0.00964291
8,8,28,8,0.00962319
60,28,24,0,0.00961714
32,20,24,4,0.00958611
60,28,28,0,0.00961922
32,20,28,4,0.00957829
32,24,4,4,0.00962888
28,20,8,4,0.00964202
32,24,0,4,0.00959413
56,16,20,4,0.00962213
20,20,12,0,0.00961244
32,32,16,4,0.00958832
48,24,16,0,0.00960627
20,16,16,4,0.00958513
28,20,4,4,0.00963872
36,24,4,4,0.0108081
60,12,24,4,0.0109472
32,32,4,4,0.0104079
32,32,8,4,0.0121763
36,24,0,4,0.012862
24,20,12,4,0.0112643
48,16,16,4,0.0109387
52,12,24,4,0.0103322
56,12,24,6,0.0114588
56,12,28,6,0.00969868
20,20,8,4,0.00966025
32,32,12,8,0.00970899
44,24,16,6,0.314661
48,24,16,6,0.00962545
52,24,20,6,0.0097369
40,24,4,6,0.00962859
56,24,24,6,0.0097369
60,12,24,6,0.0097369
48,16,12,6,0.0097369
16,16,20,6,0.00971326
16,12,16,6,0.00965261
44,20,8,6,0.00969879
40,20,4,6,0.00971326
8,8,28,6,0.00963975
28,24,0,6,0.00969832
24,20,8,6,0.00972509
20,20,8,6,0.00971326
16,12,24,6,0.00971326
16,16,24,6,0.00968569
20,16,20,6,0.00968841
32,20,24,2,0.00970051
4,12,24,6,0.00968519
8,16,20,6,0.00968022
8,16,24,6,0.00970171
28,28,4,8,0.110583
32,24,8,8,0.0182079
48,16,20,0,0.0148627
32,20,24,8,0.0151547
48,20,16,0,0.014814
36,28,12,0,0.314748
36,28,20,0,0.0122533
28,28,8,0,0.0120389
24,28,20,0,0.0173533
36,28,16,0,0.0160135
40,28,24,0,0.0146332
40,28,32,0,0.0155106
28,28,0,0,0.0112239
20,28,32,0,0.0132461
32,20,16,0,0.0127689
32,20,20,0,0.0114973
32,16,28,0,0.0143354
32,24,0,0,0.0115472
24,28,16,0,0.0113519
28,20,8,0,0.0116181
32,28,0,0,0.0228833
32,32,4,0,0.0111601
32,32,8,0,0.011075
28,20,4,0,0.0112505
36,24,0,0,0.0111132
32,40,32,0,0.0114672
24,28,24,0,0.0110108
24,24,12,0,0.0112067
24,36,12,4,0.0100938
16,12,24,0,0.0100495
32,24,4,0,0.0100406
20,20,20,0,0.0100938
16,16,24,0,0.0100938
8,20,20,0,0.0100938
4,20,24,0,0.0100583
16,24,12,0,0.0100672
4,20,28,0,0.0100938
0,20,28,0,0.0100938
16,24,16,0,0.0100938
36,44,24,0,0.0107022
8,20,24,0,0.01099
4,16,24,0,0.0100672
4,16,28,0,0.0100583
0,16,28,0,0.0152205
32,28,8,0,0.011183
36,44,32,0,0.0114805
36,44,28,0,0.0106261
28,28,16,0,0.0116223
28,28,20,0,0.249892
32,36,12,0,0.15445
36,36,12,0,0.00968333
36,40,20,0,0.208507
40,20,4,0,0.120829
