x,y,z,t,prob
8,24,28,4,0.0735181
24,36,16,4,0.0362549
28,36,16,4,0.0305606
12,24,24,4,0.0290217
24,24,8,4,0.0399397
28,32,12,4,0.0202035
28,32,8,4,0.0204303
20,24,12,4,0.0204296
24,24,12,4,0.0420438
24,40,20,4,0.0203297
32,12,24,4,0.0201206
8,16,20,2,0.0199879
60,36,28,4,0.0203605
56,16,24,4,0.0214081
24,40,24,4,0.0202945
32,12,28,4,0.020121
16,16,16,4,0.0221437
56,32,28,4,0.021142
60,36,24,4,0.0203646
48,32,12,4,0.0203199
8,24,24,4,0.0201039
28,36,20,4,0.046162
20,24,16,4,0.0202845
40,28,12,4,0.0204686
48,28,12,4,0.0204154
24,20,16,4,0.0203647
8,12,20,2,0.0205942
60,32,28,4,0.0202226
12,12,20,2,0.0200028
64,32,28,4,0.0206602
24,24,20,8,0.0199234
32,16,20,6,0.0200499
32,24,0,6,0.0201329
28,20,4,6,0.0202102
28,24,0,6,0.0200235
32,16,16,6,0.234593
32,12,24,6,0.0198967
32,24,8,6,0.0200708
24,28,16,8,0.0199291
4,8,24,8,0.0197685
4,8,28,8,0.0197557
56,20,24,8,0.0219806
16,16,12,4,0.019958
16,24,32,6,0.0199594
20,20,16,4,0.0200343
16,24,28,6,0.0203607
12,24,32,6,0.0202289
28,16,32,2,0.0200675
28,24,4,4,0.0207709
56,20,28,4,0.0209253
32,44,28,2,0.0198783
40,24,4,4,0.0203445
32,44,32,2,0.0198319
40,24,8,4,0.0216683
44,24,12,4,0.0198319
48,24,12,4,0.0198319
48,24,16,4,0.0198476
16,20,16,4,0.166884
12,20,24,4,0.0233108
16,24,24,4,0.020162
20,24,20,6,0.2328
28,24,12,4,0.0198308
24,28,24,6,0.0199454
32,24,8,4,0.0198012
4,12,28,4,0.0205511
12,16,20,4,0.0202357
48,20,20,4,0.0200925
16,16,24,4,0.0198639
20,16,12,4,0.0198312
16,20,24,6,0.0197746
8,8,28,4,0.0198481
32,12,20,4,0.23704
28,20,4,4,0.0204415
