x,y,z,t,prob
48,24,20,0,0.0997612
48,24,24,0,0.0681195
32,24,8,0,0.05233
32,24,12,0,0.0524817
32,28,28,0,0.0496287
20,8,28,0,0.044273
20,12,24,0,0.0745384
12,12,24,0,0.0353287
8,40,20,0,0.071025
12,36,16,0,0.0381938
4,40,24,0,0.0441255
4,44,24,0,0.0352612
12,36,20,0,0.0363486
12,40,20,0,0.0357716
16,12,16,0,0.0343766
8,40,24,0,0.0364451
28,32,4,0,0.0399502
24,32,4,0,0.0365813
20,36,12,0,0.172807
4,44,28,0,0.172807
60,12,28,0,0.0342042
60,12,24,0,0.0335303
16,36,12,0,0.0318521
28,28,4,0,0.172807
24,32,8,0,0.0383088
20,32,8,0,0.0404672
16,36,16,0,0.0319307
20,32,12,0,0.0316804
56,24,20,0,0.0386456
60,24,20,0,0.0328659
56,24,16,0,0.0322522
60,24,24,0,0.0510966
64,24,24,0,0.0327096
64,24,28,0,0.0358946
44,24,8,0,0.0355193
48,24,8,0,0.0318005
52,24,12,0,0.0321829
28,32,20,0,0.035383
32,32,20,0,0.0368228
20,20,24,0,0.0316181
28,28,0,0,0.0336925
32,36,12,0,0.0316172
40,32,8,0,0.0321986
32,28,0,0,0.0323541
4,16,24,0,0.0323541
40,40,20,8,0.031618
8,16,20,0,0.0324384
28,28,20,0,0.0337274
20,20,12,0,0.031618
12,16,20,0,0.0323541
24,28,24,0,0.0323541
28,28,12,0,0.0323541
24,32,24,0,0.0339473
20,12,32,0,0.032308
56,28,16,0,0.0313838
20,12,28,0,0.0321549
0,32,32,0,0.0319771
28,20,12,0,0.0345685
28,20,16,0,0.032121
20,20,20,8,0.172807
28,36,24,6,0.031869
16,20,12,8,0.0313543
48,20,8,6,0.0313348
32,36,4,4,0.0319948
52,20,24,4,0.0316215
16,20,28,4,0.0542797
56,40,24,2,0.171805
44,24,12,4,0.0315889
4,8,32,4,0.0316215
12,16,28,4,0.0328782
48,28,20,4,0.0331716
32,56,28,4,0.0618983
32,48,20,4,0.031464
32,52,24,4,0.031654
32,44,16,4,0.0369209
32,24,0,6,0.0314163
36,24,0,6,0.0313569
48,20,16,6,0.0314163
32,32,4,6,0.0314163
36,24,8,6,0.0314163
44,24,20,6,0.0314163
32,32,8,6,0.0313361
56,20,20,6,0.0313388
60,20,28,6,0.0314163
20,20,24,6,0.0314163
16,20,28,6,0.0314163
48,24,28,6,0.0314163
40,24,16,6,0.0333573
36,24,4,6,0.0314163
16,16,20,6,0.0314163
20,20,20,6,0.0314163
16,24,32,6,0.0314163
56,16,28,6,0.0311686
56,16,24,6,0.0313008
52,20,24,6,0.031078
52,16,24,6,0.031251
36,36,16,4,0.0314163
24,20,4,6,0.0314163
44,20,12,6,0.0313335
36,32,4,6,0.0312922
36,36,12,6,0.0314163
36,32,12,6,0.0322895
36,32,8,6,0.0314163
60,20,24,6,0.0314163
60,16,28,6,0.031763
28,24,4,6,0.0313201
8,8,28,6,0.0374508
12,8,24,6,0.0314163
48,28,24,6,0.0331522
40,28,8,6,0.0312561
52,28,28,6,0.0393401
28,24,0,6,0.0314392
36,12,28,8,0.168225
40,40,24,4,0.03134
28,24,12,6,0.0317461
24,24,16,6,0.0347861
40,24,8,6,0.0325767
40,40,20,4,0.0311835
28,24,8,6,0.0319098
20,16,16,6,0.0312561
16,36,12,2,0.0312561
12,8,28,6,0.0315272
12,12,24,6,0.031544
8,8,24,6,0.0312561
20,24,28,6,0.0330215
32,32,12,6,0.0312561
28,32,12,6,0.0317969
40,44,28,4,0.0312561
28,28,16,6,0.0312561
32,28,4,6,0.0312561
8,24,24,6,0.0332153
8,24,20,6,0.0312561
36,28,8,6,0.0316788
36,28,12,6,0.0312561
40,28,16,6,0.0333551
40,28,20,6,0.0312561
4,24,24,6,0.0312561
40,32,4,6,0.0313236
44,32,4,6,0.0312561
44,32,8,6,0.0319711
48,32,8,6,0.0373143
