x,y,z,t,prob
52,28,20,6,0.0318486
8,12,28,8,0.0126888
52,28,24,6,0.0123885
8,12,32,8,0.012303
28,32,24,8,0.0117607
28,28,24,8,0.0122783
12,16,28,0,0.011606
28,28,20,8,0.0129
56,28,20,6,0.010794
12,12,28,8,0.0116301
12,16,24,0,0.0109936
28,28,16,8,0.0107782
12,16,20,0,0.0104643
28,28,12,8,0.0102711
20,16,20,8,0.010021
16,16,20,8,0.0102403
12,16,24,8,0.0114496
20,24,8,8,0.00928411
24,24,4,8,0.00913146
24,24,8,8,0.00907714
20,24,12,8,0.0098513
16,24,12,8,0.00876562
40,24,8,8,0.0128158
16,24,16,8,0.0105739
36,24,8,8,0.0103303
28,24,4,8,0.0100476
4,20,24,8,0.00933204
4,20,28,8,0.0101285
0,20,28,8,0.00898629
36,24,4,8,0.00929808
32,28,0,6,0.0101252
20,20,32,6,0.00896854
36,44,24,6,0.00906327
32,40,20,6,0.00920557
36,40,24,6,0.0090013
48,32,12,6,0.0090284
40,28,8,6,0.00999288
16,12,28,6,0.00902561
48,32,16,6,0.00900782
28,36,24,6,0.00899355
32,40,28,6,0.00888215
32,32,20,6,0.00893585
32,32,16,6,0.00892711
32,28,8,6,0.00896101
32,32,12,6,0.008977
44,24,16,6,0.0088755
28,36,32,6,0.00896106
16,8,28,6,0.00895204
20,16,16,6,0.00902036
32,36,28,6,0.00892917
28,32,20,6,0.00890163
8,16,20,6,0.00890163
12,16,16,6,0.00887133
28,20,12,6,0.00890163
60,32,28,6,0.00890163
32,24,4,6,0.00890568
28,20,8,6,0.00890163
24,16,12,6,0.00888144
8,12,24,6,0.00887133
24,20,12,6,0.00890163
60,32,24,6,0.00890163
32,28,16,6,0.00890163
12,36,16,6,0.00890163
20,32,8,6,0.00888816
24,32,8,6,0.00889944
16,36,16,6,0.00888801
12,40,20,6,0.00886848
16,12,20,4,0.00888063
8,44,24,6,0.00895469
8,40,24,6,0.00888801
28,28,0,6,0.0088717
28,28,4,6,0.00887493
28,32,4,6,0.00896465
36,40,16,6,0.00887493
36,40,20,6,0.0089116
