x,y,z,t,prob
44,24,12,4,0.076182
44,24,8,4,0.04668
56,20,20,4,0.0484143
56,20,24,4,0.0470594
20,20,24,4,0.0451014
40,20,12,4,0.0440411
48,28,20,4,0.045253
52,28,24,4,0.0469575
52,28,28,4,0.0441764
32,44,32,4,0.0431897
56,12,20,4,0.0451019
44,20,12,4,0.0465025
36,28,4,4,0.0432637
40,28,12,4,0.0432073
28,32,28,4,0.0435814
40,28,8,4,0.0451866
44,28,12,4,0.0451866
52,16,16,4,0.0445527
32,28,8,4,0.0919009
12,16,20,4,0.0432292
32,32,20,4,0.0434885
28,32,24,4,0.0424373
60,20,28,0,0.0423057
16,20,16,4,0.0427554
20,24,28,4,0.0431236
36,32,12,4,0.04365
36,36,20,4,0.0428381
44,16,28,4,0.0429616
24,16,16,4,0.0429616
36,24,12,4,0.042592
16,20,32,4,0.0432005
8,8,28,4,0.0429616
36,20,24,4,0.0425812
36,24,8,4,0.0429616
44,40,32,4,0.0429616
12,8,28,4,0.0429616
32,32,16,4,0.0429616
32,24,0,6,0.0429616
48,20,12,6,0.0424128
36,24,0,6,0.0420424
32,32,8,6,0.0420895
52,16,16,6,0.0448224
48,16,12,6,0.0440995
32,32,4,6,0.0426053
32,28,0,6,0.0426053
28,20,8,6,0.0422364
52,12,20,6,0.0428334
28,20,4,6,0.0425299
24,16,12,6,0.0472119
44,24,16,6,0.0448328
48,24,24,6,0.0417579
52,12,24,6,0.0429423
32,12,12,8,0.0443485
16,20,28,6,0.0419607
32,40,20,6,0.0428196
60,12,24,2,0.0433282
24,32,20,2,0.0421817
20,20,20,6,0.0430409
32,36,16,6,0.0419965
48,20,16,6,0.0421702
56,16,24,6,0.0420934
56,12,28,6,0.0422182
12,16,28,6,0.042247
40,20,8,6,0.0428518
28,24,0,6,0.0427241
16,12,20,6,0.042051
12,8,24,6,0.0422435
56,12,24,6,0.042051
36,36,20,6,0.0826464
36,40,28,6,0.0625238
36,40,24,6,0.042051
12,16,24,6,0.042051
40,36,28,6,0.0911054
40,32,16,6,0.0419669
36,32,16,6,0.0449584
40,36,20,6,0.0419609
36,32,12,6,0.0419609
40,40,28,6,0.0419609
40,40,32,6,0.0429877
36,32,8,6,0.0415812
40,36,24,6,0.0416385
36,28,8,6,0.0418769
48,16,16,6,0.0419609
36,28,4,0,0.0918858
48,20,32,6,0.0415202
32,28,0,0,0.0424516
44,20,28,6,0.0427469
36,28,0,0,0.041924
48,20,28,6,0.0419609
40,20,20,6,0.0419609
36,24,4,0,0.0419609
48,16,32,6,0.0422985
32,24,4,6,0.0419609
32,24,8,6,0.0419609
36,24,8,6,0.0433704
40,24,8,6,0.0432891
40,24,12,6,0.0420885
24,24,28,6,0.0419609
28,28,12,6,0.0422169
28,24,20,6,0.0419096
32,40,24,6,0.0417837
8,8,24,6,0.0419048
28,32,28,6,0.0445244
28,36,32,6,0.0419609
64,16,24,2,0.0418415
20,16,12,6,0.0415242
32,32,16,6,0.0415418
32,32,12,6,0.0419609
40,20,4,6,0.0419102
32,36,20,6,0.0418705
32,24,4,4,0.0418705
24,20,4,4,0.0418705
48,24,8,4,0.0918932
52,24,12,4,0.0418705
32,32,4,4,0.0418683
44,24,4,2,0.0918932
44,24,8,2,0.0418161
48,20,8,2,0.0918932
64,36,28,2,0.0418705
52,16,24,4,0.0418772
24,28,24,2,0.0418705
32,36,24,2,0.045635
24,28,28,2,0.0490505
20,36,12,2,0.0418028
20,16,16,4,0.0417374
4,44,24,2,0.0418705
52,24,16,2,0.0418705
44,20,12,2,0.0418705
40,24,24,2,0.0418705
40,24,28,2,0.0816388
8,16,24,2,0.0418785
12,16,20,2,0.0417871
64,36,24,2,0.0418922
52,12,20,4,0.0418705
48,28,8,2,0.0418528
60,28,28,2,0.0418638
20,36,28,2,0.0418705
48,28,12,2,0.0418705
56,28,20,2,0.0418705
56,28,24,2,0.0418705
60,28,24,2,0.0418705
32,28,16,2,0.0418705
28,32,28,2,0.0418705
40,40,24,2,0.0418705
28,32,24,2,0.0419156
24,36,20,2,0.0418705
12,16,28,2,0.0435994
12,16,24,2,0.0418705
44,24,32,2,0.0418349
16,20,20,2,0.0419308
40,36,24,2,0.0418273
24,24,28,2,0.0424293
48,24,16,2,0.0418705
52,24,20,2,0.0418705
56,24,20,2,0.0419309
40,24,20,2,0.0418705
36,36,16,2,0.0418515
20,20,16,2,0.041893
24,20,16,2,0.0419003
28,12,24,2,0.0418705
28,12,28,2,0.0416584
52,28,16,2,0.0420117
20,12,28,2,0.0418705
20,16,24,2,0.0423208
60,12,28,0,0.0421251
16,12,16,4,0.0422535
44,24,20,2,0.0423799
20,32,8,2,0.0421861
8,36,20,2,0.0421268
24,32,32,6,0.0419006
24,32,28,6,0.0418705
56,16,20,6,0.0419211
56,12,20,6,0.0418705
32,28,4,8,0.0419119
36,28,4,8,0.0418705
36,28,8,8,0.0418962
32,20,8,8,0.0418705
32,16,12,8,0.0433124
40,28,12,8,0.0422046
40,28,8,8,0.0418597
24,28,4,8,0.0418705
28,28,4,8,0.0418705
28,28,0,8,0.0418705
32,12,16,8,0.0418705
32,8,20,8,0.0422162
24,28,8,8,0.044039
64,28,24,4,0.0418705
20,28,12,8,0.0424242
20,28,8,8,0.0431993
24,20,24,2,0.0421783
32,60,28,8,0.0417527
0,28,28,8,0.0417844
48,28,20,8,0.0417844
52,28,16,8,0.0415105
60,28,24,8,0.0419001
8,28,24,8,0.0420785
56,28,24,8,0.132242
8,28,20,8,0.0423152
16,28,16,8,0.0418712
56,28,20,8,0.0418085
64,28,28,8,0.0418489
4,28,28,8,0.0417963
0,28,32,8,0.132593
24,16,24,2,0.0417591
32,56,28,8,0.0427165
4,28,24,8,0.0418489
32,0,24,8,0.0416072
52,28,20,8,0.0417448
60,28,28,8,0.0441943
64,32,28,8,0.0419476
32,4,24,8,0.0425909
24,20,20,2,0.0415734
32,60,24,8,0.0415242
20,20,24,2,0.0414848
28,60,28,8,0.0417872
44,28,16,8,0.0417872
48,28,16,8,0.0418145
56,28,32,4,0.0416529
12,28,20,8,0.041761
60,32,28,8,0.0426457
44,28,12,8,0.0441503
28,4,24,8,0.132768
56,28,28,4,0.0425097
12,28,16,8,0.0430603
52,28,24,8,0.0427934
32,4,20,8,0.042545
32,0,28,8,0.0434924
48,32,16,0,0.0486011
20,24,8,0,0.0437116
40,28,4,0,0.0424015
16,24,12,0,0.0418134
32,28,12,0,0.0419191
20,20,8,0,0.0415877
20,20,12,0,0.042384
8,12,28,0,0.0428225
28,32,20,0,0.0418927
32,36,20,0,0.0418676
0,12,28,0,0.0416418
4,8,24,0,0.0417863
16,12,16,0,0.0417708
24,20,8,0,0.0418349
16,16,16,0,0.0426763
20,16,12,0,0.0414814
16,20,12,0,0.0414814
8,12,20,0,0.0422402
12,12,20,0,0.043624
12,16,16,0,0.0418923
12,16,20,0,0.0426873
12,12,16,0,0.0415133
4,12,28,0,0.0414814
4,12,24,0,0.0417767
20,12,20,0,0.0414814
36,16,12,0,0.0416954
20,16,16,0,0.0414814
36,20,4,0,0.0416479
36,20,8,0,0.041387
16,16,20,0,0.0416702
16,8,28,0,0.0413677
16,12,20,0,0.0435335
16,12,24,0,0.0413677
16,8,24,0,0.0413677
36,20,12,0,0.0421619
28,32,24,0,0.0416037
40,28,8,0,0.0434055
28,20,8,0,0.0421734
24,16,12,0,0.0413166
44,28,12,0,0.0413676
44,24,8,0,0.0417635
44,20,12,0,0.0418075
48,20,12,0,0.0441288
12,24,20,0,0.0430264
12,24,16,0,0.0418306
16,24,16,0,0.042012
28,28,28,6,0.044318
20,24,12,0,0.0426435
48,20,16,0,0.0413421
52,20,16,0,0.0413677
52,20,20,0,0.0418045
56,20,20,0,0.132757
56,20,24,0,0.0416181
24,28,24,6,0.04247
56,20,28,0,0.041577
40,12,28,0,0.0413677
28,24,16,0,0.0416178
24,20,24,0,0.041337
32,40,28,2,0.132428
12,8,28,2,0.0413677
8,12,24,2,0.0413677
8,12,20,2,0.0418241
4,12,24,2,0.0418388
4,12,28,2,0.0413677
28,20,12,2,0.0419911
28,16,16,2,0.0413677
32,20,4,2,0.0413676
20,8,24,2,0.0413677
16,8,28,2,0.0413676
16,8,24,2,0.0413677
16,12,24,2,0.0413421
28,12,20,2,0.0425574
24,12,20,2,0.041344
24,12,24,2,0.0413176
28,16,20,2,0.041344
28,16,12,2,0.0414021
28,20,8,2,0.042559
36,28,0,2,0.0418146
36,32,4,2,0.0420662
36,32,8,2,0.042737
40,36,12,2,0.0419975
36,36,24,2,0.0413263
36,40,24,2,0.0414132
12,36,28,2,0.0415336
16,36,28,2,0.0415176
16,36,24,2,0.0413347
40,36,16,2,0.0413453
40,40,20,2,0.0417757
44,40,20,2,0.0415366
40,32,16,2,0.0427355
40,36,20,2,0.0416826
40,32,8,2,0.0415694
40,32,12,2,0.0417194
44,40,28,2,0.0417881
44,36,28,2,0.0414808
36,32,12,2,0.0419031
36,32,16,2,0.0413426
32,44,24,6,0.0414126
56,20,20,2,0.0413641
52,20,16,2,0.0415071
52,20,20,2,0.0413382
56,20,24,2,0.0413499
56,16,24,2,0.0413991
8,28,20,2,0.0415436
4,28,28,2,0.0413512
4,28,24,2,0.0416426
8,28,24,2,0.0412655
12,28,16,2,0.0412655
40,28,4,2,0.0417938
16,28,16,2,0.0413222
28,28,4,2,0.0412655
12,20,16,2,0.0415526
8,20,20,2,0.0429658
8,16,20,2,0.0419468
4,16,24,2,0.0412912
48,20,16,4,0.0416969
48,24,12,4,0.0912828
32,28,8,6,0.0762072
32,44,28,6,0.0850253
32,44,32,6,0.086164
56,24,28,6,0.0905816
32,36,12,6,0.0916699
32,32,20,6,0.090069
60,16,24,2,0.0768706
16,16,12,6,0.0708068
4,12,28,6,0.0840731
0,12,28,6,0.0663316
20,20,8,6,0.0633292
24,20,8,6,0.0601952
60,16,28,2,0.0869288
16,16,16,6,0.060809
8,16,20,6,0.0450509
8,12,20,6,0.0803323
4,12,24,6,0.0450509
12,12,20,6,0.0918593
24,20,4,6,0.0611012
24,24,4,6,0.0697735
16,20,24,6,0.0757703
16,16,24,6,0.0911849
16,20,20,6,0.0772871
24,24,12,6,0.0553931
20,24,12,6,0.0677151
64,20,28,2,0.0656273
20,20,16,6,0.0673416
8,16,28,6,0.0442694
12,20,24,6,0.0438763
44,24,12,6,0.0652129
64,16,28,2,0.0466397
20,16,16,6,0.0634099
52,24,28,6,0.0438763
44,20,8,6,0.0652129
16,12,24,6,0.0610628
36,36,16,6,0.0513188
40,32,20,6,0.0566603
40,36,16,6,0.0750454
40,20,12,6,0.0575418
44,20,20,6,0.0488183
40,20,16,6,0.0719506
36,24,4,6,0.0634581
44,20,24,6,0.0437849
32,40,28,6,0.131673
28,24,4,6,0.049732
28,36,28,6,0.0626391
8,12,24,6,0.0435321
16,12,28,6,0.0689927
12,12,24,6,0.0768224
12,16,20,6,0.0728367
52,16,20,6,0.0583199
56,16,28,2,0.0913338
12,16,16,6,0.0431786
44,40,32,6,0.0433765
60,12,28,2,0.0433765
16,12,16,6,0.0433765
20,12,24,2,0.0756993
40,16,20,0,0.0913537
36,16,16,0,0.0877438
56,32,28,0,0.0433765
40,12,24,0,0.0433178
28,24,12,0,0.0753622
40,24,24,0,0.0781838
40,24,20,0,0.0560536
44,24,24,0,0.0431129
40,24,16,0,0.0431129
40,24,12,0,0.0622499
36,24,12,0,0.0578923
36,24,8,0,0.0573743
32,32,16,0,0.0433765
44,20,28,0,0.0609748
44,24,28,0,0.0495905
12,20,16,0,0.0482898
16,20,16,0,0.0611525
0,20,28,0,0.0544933
4,20,28,0,0.131673
4,20,24,0,0.0457211
52,32,16,0,0.0696653
28,28,28,0,0.0452683
32,28,8,0,0.131503
44,32,12,0,0.0912909
28,32,32,0,0.0603561
28,32,28,0,0.057204
32,28,16,0,0.0433765
52,32,20,0,0.0606444
56,32,20,0,0.132881
56,32,24,0,0.0784896
8,16,20,0,0.0433765
4,16,24,0,0.0432664
8,16,24,0,0.0512533
8,20,24,0,0.0643618
8,20,20,0,0.0849539
12,20,20,0,0.0901276
8,8,24,0,0.0663969
4,16,28,0,0.0484315
4,8,28,0,0.0433765
36,48,32,0,0.0630041
48,32,20,0,0.0433765
24,24,8,0,0.0734555
40,8,28,0,0.0646033
36,40,16,0,0.0794004
36,44,28,0,0.0620902
44,24,12,0,0.0560311
12,8,28,0,0.0835732
56,36,24,0,0.0773109
8,12,24,0,0.0705943
28,20,4,2,0.0433765
32,32,4,2,0.0432884
32,32,8,2,0.0433765
16,16,20,2,0.0433765
40,20,4,2,0.0429786
28,8,16,8,0.0433765
32,24,4,8,0.0433765
32,28,0,8,0.0707399
20,32,12,4,0.0909303
