x,y,z,t,prob
32,8,24,2,0.0331326
32,0,28,2,0.0339149
44,28,16,2,0.0332889
40,28,16,8,0.0470331
32,24,0,8,0.032286
32,4,20,2,0.0293494
28,28,4,8,0.0293122
32,4,24,2,0.0287422
28,28,8,8,0.0291988
24,28,12,8,0.0282961
16,28,24,8,0.0285688
32,24,0,2,0.0281869
52,28,20,2,0.0476772
28,28,0,2,0.0701051
24,28,4,2,0.0377479
20,28,8,2,0.045824
32,16,8,2,0.0352228
32,20,4,2,0.0357466
24,28,8,4,0.036613
56,28,28,4,0.057159
40,28,16,4,0.0336999
64,28,32,2,0.0381247
52,28,28,2,0.0384693
4,28,24,2,0.0565845
64,28,28,2,0.0360927
60,28,28,2,0.0325289
32,8,20,2,0.0360525
12,28,16,2,0.0322997
32,0,28,0,0.0314304
36,28,4,2,0.031216
32,28,0,2,0.0325449
40,28,8,2,0.029792
44,28,12,2,0.0303936
48,28,20,4,0.0303842
32,12,16,4,0.0351848
32,4,24,4,0.0308287
32,20,4,4,0.0349976
44,28,16,4,0.0305747
32,12,24,4,0.0343749
16,28,16,4,0.0299686
52,28,20,4,0.0301282
32,4,28,4,0.0296681
32,12,16,0,0.0299941
16,28,12,0,0.0305151
28,4,24,2,0.030863
24,28,8,8,0.0312603
20,28,20,8,0.0317349
36,28,4,0,0.0297334
32,0,32,2,0.0297553
32,12,20,2,0.0293283
36,28,4,4,0.0296329
36,28,8,4,0.0322833
40,28,8,4,0.0307537
32,28,4,4,0.0295115
44,28,12,4,0.0337764
32,28,0,4,0.02998
32,20,8,4,0.0310197
20,28,12,4,0.0300627
32,8,20,4,0.0293584
8,28,24,4,0.0293209
32,24,8,4,0.0313742
32,16,16,4,0.169977
12,28,20,4,0.170443
32,8,24,4,0.0794514
32,16,12,4,0.0925178
56,28,32,4,0.0587494
32,8,20,0,0.0924612
24,28,8,0,0.0487703
20,28,12,0,0.046402
20,28,8,0,0.0363292
32,60,28,0,0.0330337
0,28,28,0,0.0341758
48,28,20,0,0.0337987
52,28,16,0,0.0324255
60,28,24,0,0.0321775
8,28,24,0,0.0321722
32,16,8,0,0.0318404
32,8,32,8,0.0731951
48,28,24,8,0.0392234
12,28,28,8,0.0310452
40,28,20,8,0.0320766
32,28,4,8,0.0455046
40,28,12,2,0.0325946
32,28,4,2,0.0322465
48,28,20,2,0.0304612
24,28,8,2,0.0324356
52,28,24,2,0.0311081
20,28,16,2,0.076676
20,28,12,2,0.0301045
52,28,24,4,0.0728638
48,28,16,4,0.0302041
28,28,8,4,0.029618
28,28,4,4,0.029618
28,0,28,0,0.0322922
32,60,24,0,0.0302182
28,60,28,0,0.138703
44,28,16,0,0.0892926
48,28,16,0,0.136254
60,32,28,0,0.0525471
44,28,12,0,0.0378889
12,28,20,0,0.056118
16,28,16,0,0.0316367
12,28,16,0,0.0333111
52,28,24,0,0.0330417
0,32,28,0,0.0324351
32,24,4,2,0.0313473
32,12,12,2,0.0531022
16,28,12,2,0.0319826
32,8,16,2,0.0317369
8,28,20,2,0.0318466
48,28,16,2,0.0311798
32,8,16,0,0.031098
32,12,12,0,0.0311477
32,24,0,0,0.0308556
32,20,4,0,0.040864
28,56,24,0,0.0310113
28,60,24,0,0.0324349
32,56,24,0,0.0311099
28,0,24,0,0.0305361
28,8,20,0,0.0621501
28,4,20,0,0.0570595
28,8,16,0,0.030297
28,28,0,0,0.0308589
4,28,32,4,0.170662
8,28,24,2,0.164031
28,28,8,2,0.146199
12,28,24,2,0.169571
4,28,28,2,0.145778
16,28,20,2,0.122157
48,28,24,2,0.0883453
28,28,4,2,0.13649
8,28,28,2,0.155507
32,20,8,2,0.121624
24,28,12,4,0.0908054
16,28,20,4,0.162656
28,24,0,4,0.0320766
36,28,16,8,0.160482
24,28,16,8,0.118519
20,28,24,8,0.0840436
48,28,32,8,0.0530812
32,16,20,8,0.0561587
44,28,24,8,0.12975
32,16,24,8,0.146676
32,24,8,8,0.0779886
16,28,32,8,0.0941595
32,12,28,8,0.0827397
16,28,28,8,0.107452
32,24,4,0,0.100549
32,28,4,0,0.0701398
36,28,8,0,0.0520877
32,20,8,0,0.0516492
