x,y,z,t,prob
52,32,20,6,0.101981
52,28,20,6,0.0545024
32,32,0,6,0.0380759
32,32,4,6,0.034936
12,12,20,6,0.0625587
28,40,24,6,0.0288339
28,36,28,6,0.0305428
28,32,20,6,0.0478052
28,36,24,6,0.0348334
32,32,16,6,0.0304073
32,32,8,6,0.0266752
16,12,16,6,0.0323663
12,8,24,6,0.0263094
32,36,20,6,0.0602768
16,20,28,6,0.0245919
44,24,20,6,0.0263002
28,20,4,6,0.0284548
32,36,24,6,0.192985
28,40,28,6,0.0240601
28,40,32,6,0.0255668
24,16,12,6,0.0245433
20,16,16,6,0.0279497
48,24,32,6,0.0252038
12,20,32,6,0.0241929
48,24,28,6,0.0266812
44,24,24,6,0.0241782
56,28,24,6,0.0240297
16,24,24,6,0.0252036
24,20,16,6,0.0252251
20,24,16,6,0.0240346
56,20,28,6,0.0239349
36,24,8,6,0.0239462
40,24,8,6,0.023855
40,24,12,6,0.0288541
40,24,16,6,0.192207
36,24,4,6,0.0238981
12,20,20,6,0.0247294
28,32,16,6,0.024254
4,16,28,6,0.0257058
8,20,24,6,0.0259618
28,24,4,6,0.0238385
48,20,20,2,0.0238385
12,16,20,2,0.0262881
32,28,8,2,0.0238385
20,28,28,2,0.0463953
44,24,8,4,0.0242155
32,44,24,8,0.0237828
52,28,20,8,0.0246535
12,8,32,6,0.0242127
60,32,28,8,0.0269825
32,44,32,8,0.0284015
32,36,20,8,0.0236829
4,8,28,8,0.0258684
32,40,24,8,0.0238947
32,40,20,8,0.0279325
56,28,24,8,0.0250365
8,8,28,6,0.0237789
56,32,24,8,0.0252131
40,28,12,8,0.0237789
32,32,4,8,0.0237789
48,28,20,8,0.024712
44,24,20,8,0.0248616
12,16,24,8,0.0241657
8,16,24,8,0.02532
32,28,0,8,0.024756
44,28,16,8,0.0238682
44,24,12,4,0.0254851
32,44,28,8,0.0236903
20,20,12,8,0.0238235
48,28,12,8,0.0236903
32,32,8,8,0.0237753
32,32,12,8,0.023981
32,36,12,8,0.0240494
48,32,24,8,0.0243676
4,8,28,6,0.0344881
52,32,24,8,0.0253929
52,32,28,8,0.0256946
40,28,4,8,0.0245529
44,28,12,8,0.0240604
24,24,4,8,0.0236903
20,24,8,8,0.0241207
24,24,8,8,0.0238674
8,12,24,4,0.024625
24,20,8,4,0.0237125
16,16,16,4,0.0243823
20,16,12,4,0.0239558
44,24,20,4,0.0239935
12,12,16,4,0.0238479
8,12,20,4,0.0257505
20,28,28,4,0.0238857
40,24,8,4,0.0244989
44,24,28,4,0.0242995
44,24,32,4,0.0239436
48,24,32,4,0.0243128
40,24,16,4,0.0236314
40,24,20,4,0.0237729
40,24,12,4,0.0278957
44,24,24,4,0.0288458
36,24,8,4,0.0241837
36,24,4,4,0.0255542
20,28,20,4,0.0232308
24,28,16,4,0.0332266
24,28,12,4,0.0355512
16,24,28,4,0.040882
20,28,24,4,0.0302117
28,28,12,4,0.0472149
44,20,8,0,0.0266761
32,40,24,4,0.0264853
24,32,28,4,0.032192
24,16,12,4,0.025173
20,16,16,4,0.0279646
16,16,24,4,0.028521
16,12,16,4,0.0254975
16,12,20,4,0.0247304
12,12,24,4,0.0254227
32,32,16,4,0.025661
32,36,20,4,0.0241183
32,36,24,4,0.0245571
28,36,24,4,0.023999
28,40,24,4,0.0301402
28,28,8,4,0.0241072
28,36,28,4,0.0240136
32,28,8,4,0.0241072
48,28,16,4,0.0241072
48,32,24,4,0.0247939
48,32,20,4,0.0256839
40,28,12,4,0.0252312
28,36,20,0,0.0247565
28,32,20,0,0.0240331
24,20,16,0,0.0239593
32,44,24,0,0.0239593
44,28,12,0,0.0239593
20,24,20,0,0.0311583
8,8,28,0,0.0240331
16,24,20,0,0.0240332
52,16,24,0,0.0240332
20,24,24,0,0.0240332
20,24,28,0,0.0240332
28,24,8,0,0.0240331
24,24,20,0,0.0246184
32,36,8,0,0.0240331
32,44,20,0,0.0240331
32,40,16,0,0.0244646
32,52,28,0,0.0239593
32,48,28,0,0.0239593
32,48,24,0,0.0238856
16,24,28,0,0.0240332
32,32,12,0,0.0238856
28,28,16,0,0.0277016
32,28,8,0,0.0237547
32,28,4,0,0.0239576
20,28,28,0,0.0237203
24,28,28,0,0.023905
32,40,20,0,0.0239576
28,24,12,0,0.0242465
60,16,24,0,0.0238683
60,16,28,0,0.0239576
64,16,28,0,0.02387
64,16,32,0,0.0237791
48,20,12,0,0.0239215
52,20,16,0,0.0239576
16,24,24,0,0.0239576
