x,y,z,t,prob
20,28,28,4,0.0978382
52,16,20,4,0.116102
44,24,16,4,0.110065
52,24,20,4,0.117402
32,32,24,4,0.111563
44,24,8,4,0.0956097
12,16,28,2,0.0923754
44,24,12,4,0.0948466
32,28,4,4,0.0922913
28,36,28,4,0.0930881
52,24,24,4,0.0930061
52,24,28,4,0.0889995
56,24,28,4,0.0885941
36,36,16,4,0.0573554
28,24,12,4,0.0539752
24,24,16,4,0.0708737
28,24,8,4,0.0641047
20,20,24,4,0.0540281
20,20,28,4,0.0513232
32,36,16,4,0.0545575
12,12,32,4,0.0714613
48,20,12,2,0.0849964
44,20,12,2,0.0514465
16,36,16,8,0.04989
32,32,16,8,0.0771802
20,16,16,8,0.0664788
24,16,12,8,0.0942091
28,20,4,8,0.0927461
36,24,4,8,0.0541257
36,44,24,2,0.077459
60,12,24,8,0.0487457
32,32,4,8,0.0943005
32,32,8,8,0.0461903
36,24,0,8,0.0572758
24,20,12,8,0.0513027
20,28,24,4,0.122909
48,16,16,8,0.0978136
52,12,24,8,0.0925752
52,12,20,8,0.0933668
44,20,8,8,0.0909911
44,20,12,8,0.0975939
36,44,28,4,0.0979142
28,28,16,4,0.0614643
28,28,20,4,0.0635359
20,28,24,0,0.068924
48,16,16,4,0.0846866
40,20,4,4,0.0738234
12,12,28,2,0.0670797
36,28,8,0,0.0636613
32,28,8,0,0.0854972
32,28,4,0,0.0726698
28,24,0,0,0.0686173
40,28,16,0,0.134088
24,28,16,0,0.0690719
24,28,12,0,0.0933776
28,28,4,0,0.0919248
28,28,8,0,0.0472068
32,24,0,0,0.0471423
32,24,4,0,0.0920824
28,28,0,0,0.0852466
32,20,12,0,0.0752012
32,20,20,0,0.0710999
32,28,0,0,0.0647645
44,28,24,0,0.0930154
32,20,16,0,0.0609966
32,16,20,0,0.0973552
32,24,12,0,0.0736787
44,28,28,0,0.0476467
40,28,20,0,0.0474068
32,16,24,0,0.0473998
32,12,28,0,0.0475101
24,28,20,0,0.0474266
36,28,16,4,0.0473557
40,28,24,4,0.0931851
40,28,32,4,0.0873985
28,28,0,4,0.0473191
20,28,32,4,0.0473557
32,20,16,4,0.0475102
32,16,24,4,0.0474366
32,20,20,4,0.0474758
44,28,28,4,0.0473925
32,16,28,4,0.0688605
32,24,0,4,0.0472729
32,20,28,4,0.0473113
24,28,16,4,0.0472729
28,20,8,4,0.0473113
32,28,0,4,0.0473681
32,32,4,4,0.0497626
32,32,8,4,0.0968841
16,16,16,4,0.0511955
28,20,4,4,0.0914333
48,20,12,4,0.0472622
36,24,0,4,0.0473923
32,40,32,4,0.0472893
24,16,12,4,0.047282
36,28,12,0,0.0472692
8,8,28,4,0.0473761
32,44,28,4,0.0504803
16,20,24,4,0.0472635
24,20,12,4,0.0474063
16,12,16,4,0.0472455
20,16,16,4,0.0472455
24,20,16,4,0.0472017
16,12,20,4,0.0472017
32,16,32,4,0.0472017
56,12,28,4,0.0472677
20,28,20,0,0.0472017
48,16,12,4,0.0472017
24,28,24,0,0.0472274
52,16,16,4,0.0472017
12,12,24,4,0.0472017
20,20,12,4,0.0471762
8,16,20,4,0.0472318
24,20,8,4,0.047158
8,12,28,2,0.047158
16,12,24,2,0.047107
12,12,20,2,0.047158
52,24,28,2,0.0471274
8,8,24,2,0.0471325
44,24,12,2,0.0473931
28,28,16,0,0.0473115
36,28,16,0,0.047158
40,28,28,0,0.047158
40,28,24,0,0.047158
32,16,32,0,0.047158
28,28,12,0,0.047158
32,28,12,0,0.047158
32,24,8,0,0.135802
32,16,28,0,0.0471197
28,24,0,2,0.047158
40,28,20,2,0.0966351
24,28,16,2,0.135794
28,28,12,2,0.047158
32,24,12,2,0.135794
32,24,8,2,0.0511029
40,28,28,2,0.047158
20,28,24,2,0.047158
32,20,12,2,0.047107
32,16,24,2,0.0472455
28,28,4,2,0.047158
44,28,28,2,0.047158
28,28,0,2,0.0471785
20,28,28,2,0.0472045
40,28,24,2,0.0472626
24,36,24,8,0.047158
24,20,8,8,0.0733326
24,24,8,8,0.047158
24,24,4,8,0.0614304
32,40,24,8,0.047158
4,12,28,8,0.047158
4,16,28,8,0.0470561
8,16,28,8,0.047158
8,16,24,8,0.047107
12,16,20,8,0.047158
16,16,16,8,0.0472055
32,44,32,8,0.047158
16,20,24,8,0.0471799
28,32,28,8,0.0471726
24,32,32,8,0.0471944
16,16,28,8,0.0471435
28,32,24,8,0.047027
20,20,20,8,0.0472936
52,24,20,8,0.0471976
48,24,20,8,0.0470052
32,20,16,2,0.0499667
32,16,28,2,0.0471471
36,32,16,6,0.0470052
24,28,24,2,0.047209
36,28,12,2,0.0471694
36,28,20,6,0.0469399
24,28,28,6,0.0472885
28,28,4,6,0.046929
28,28,0,6,0.125683
20,28,32,6,0.125885
28,28,20,6,0.114212
36,36,20,4,0.117664
32,16,28,6,0.0977511
32,20,20,6,0.1265
36,40,20,4,0.0981081
32,20,28,6,0.119681
24,28,16,6,0.0929486
32,28,4,6,0.10684
40,28,28,6,0.0935708
32,28,0,6,0.0942467
36,28,24,6,0.0927098
32,16,32,6,0.0660682
48,16,20,4,0.0929781
12,8,28,4,0.0923104
28,28,12,4,0.0929774
36,28,24,4,0.0922519
32,28,12,4,0.0607605
28,28,4,4,0.0921931
40,28,28,4,0.065193
28,28,8,2,0.0761282
40,28,16,2,0.0806696
32,16,20,2,0.073468
36,28,20,2,0.0508529
24,28,20,2,0.0594077
32,24,16,2,0.0927964
32,20,24,2,0.0673868
40,28,32,2,0.0510161
36,28,16,2,0.135794
32,16,32,2,0.0600242
28,28,16,2,0.0926104
32,24,4,2,0.0508187
20,28,32,2,0.0497626
28,20,8,2,0.0927537
32,36,16,2,0.0786255
32,36,12,2,0.0503772
32,32,8,2,0.0510226
32,32,4,2,0.0588853
32,28,4,2,0.0505837
32,28,0,2,0.0626263
28,24,4,4,0.0504888
20,20,8,4,0.0693749
8,16,24,4,0.0927228
16,20,12,4,0.0505129
12,8,24,2,0.0712548
8,8,28,2,0.0504803
24,20,8,2,0.0542877
28,20,4,2,0.0503247
16,16,16,2,0.0685914
20,16,16,2,0.0507757
32,36,20,2,0.0503772
56,12,24,2,0.0644567
56,16,20,2,0.058049
40,36,28,2,0.0503772
56,16,24,2,0.050288
44,20,8,2,0.0498747
40,20,8,2,0.0932445
40,24,8,2,0.0503445
36,24,4,2,0.0501715
52,16,16,2,0.0501715
48,16,16,2,0.04989
52,16,20,2,0.0501715
48,20,16,2,0.0472893
8,8,28,8,0.0501715
12,8,28,8,0.0914816
12,12,28,8,0.0500775
16,20,12,8,0.0501715
20,20,8,8,0.0501715
32,28,8,8,0.0501715
12,40,20,8,0.0686953
20,36,16,8,0.050399
48,20,16,8,0.0497286
8,44,24,8,0.0510247
12,44,24,8,0.0502958
12,40,24,8,0.0498135
24,32,8,8,0.058359
24,24,16,8,0.050069
28,32,8,8,0.050069
20,24,32,8,0.0500434
28,24,20,8,0.0497371
28,32,4,8,0.0575718
32,28,0,8,0.0507628
32,28,4,8,0.0498135
28,28,4,8,0.0501146
20,36,12,8,0.0502695
12,16,32,8,0.0499667
24,20,16,8,0.0472105
