x,y,z,t,prob
4,40,24,2,0.125213
28,16,20,2,0.0565003
28,12,20,2,0.0462439
28,12,24,2,0.0562486
24,12,28,2,0.0565925
32,20,12,2,0.0810056
8,12,32,2,0.0282608
28,16,12,2,0.035902
32,36,24,0,0.0315992
20,20,12,2,0.0558931
28,32,32,0,0.0281573
16,16,20,2,0.0276374
32,24,0,2,0.040739
12,36,16,2,0.0278506
60,12,28,2,0.0551223
56,24,28,2,0.0329578
60,24,28,2,0.033872
56,24,24,2,0.0412815
40,28,12,2,0.0285948
52,28,20,2,0.0270769
52,28,24,2,0.0301763
16,20,32,2,0.0265841
48,24,16,2,0.0396512
24,20,24,2,0.0273516
48,28,20,2,0.0302914
52,16,20,2,0.0563553
8,44,24,2,0.0262915
44,20,28,2,0.0262377
64,32,24,2,0.0299131
28,24,4,2,0.0259476
24,24,4,2,0.0260668
12,12,28,2,0.0260389
4,24,28,2,0.0284779
4,24,24,2,0.0306178
24,24,20,2,0.0259104
24,24,16,2,0.0259104
52,36,24,2,0.0394418
52,32,24,2,0.0257773
12,24,16,2,0.0259104
16,24,12,2,0.0259104
60,32,24,2,0.0259104
8,24,24,2,0.0259104
8,24,20,2,0.0259104
12,24,20,2,0.0258363
20,8,28,2,0.0265402
24,28,28,2,0.0259104
0,36,28,2,0.0259104
28,16,16,2,0.0258437
24,12,24,2,0.0258659
52,36,16,2,0.0259104
48,36,16,2,0.0259104
56,32,24,2,0.0259104
48,32,20,2,0.0259489
44,24,20,2,0.0316125
28,28,24,2,0.0259396
24,28,24,2,0.0259104
40,36,24,0,0.0257773
28,20,12,2,0.0259104
48,28,16,2,0.0259104
56,32,28,2,0.0259104
20,16,24,2,0.0259039
16,12,24,8,0.0306937
32,16,16,0,0.0258428
32,16,20,0,0.0273234
28,16,20,0,0.0258766
28,12,20,0,0.0268603
28,12,24,0,0.0261069
24,32,4,0,0.0266012
28,32,4,0,0.0258428
28,28,0,0,0.0353211
16,36,16,0,0.0258428
20,36,12,0,0.0258428
32,16,12,0,0.0258706
24,32,8,0,0.0258132
56,28,24,0,0.0258428
12,40,20,0,0.0264863
52,28,12,0,0.0261562
48,28,8,0,0.0674195
8,40,24,0,0.0258428
60,28,20,0,0.0258428
56,28,20,0,0.0258428
8,40,20,0,0.0271495
56,28,16,0,0.0258428
52,28,16,0,0.0269695
32,24,4,0,0.0258428
32,20,4,0,0.0257934
32,20,8,0,0.0258428
32,20,12,0,0.0261993
44,28,8,0,0.0269376
44,28,4,0,0.0262345
52,28,20,0,0.027138
32,24,0,0,0.0258428
0,40,28,0,0.0259651
28,28,4,0,0.0258428
24,24,16,0,0.0258428
4,40,28,0,0.0264059
12,16,28,0,0.0261332
12,20,20,0,0.0560827
12,8,24,0,0.026562
44,24,20,0,0.0258428
12,36,20,0,0.0259353
12,36,16,0,0.0265835
16,20,28,0,0.026896
24,24,28,2,0.0293278
4,36,28,0,0.026034
4,36,24,0,0.0299157
8,36,24,0,0.0258442
8,36,20,0,0.027029
36,24,8,0,0.0268054
24,24,20,0,0.0273395
40,24,28,0,0.0311926
40,24,20,0,0.0294619
36,24,16,0,0.0271396
36,24,12,0,0.026657
20,20,16,0,0.0391103
16,20,20,0,0.0264015
40,24,24,0,0.0275437
52,20,24,0,0.0275476
24,28,8,0,0.0265889
52,20,20,0,0.0266346
24,28,4,0,0.0263228
12,8,24,6,0.0265857
16,12,28,6,0.0264015
28,32,24,4,0.0266236
12,8,32,6,0.0267185
16,36,12,2,0.0259541
