Timestamp,Pid,WorkingSetBytes,PrivateBytes
2025-10-15T19:58:06.3919939-05:00,120408,5611520,1794048
2025-10-15T19:58:06.5293468-05:00,120408,37310464,72101888
2025-10-15T19:58:06.6712188-05:00,120408,,
2025-10-15T19:58:06.8062122-05:00,120408,,
